hidden_layer_sizes	activation	solver	alpha	learning_rate	learning_rate_init	early_stopping	accuracy
128x1	tanh	adam	1e-05	adaptive	0.0001	True	0.82347
128x1	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97711
128x1	tanh	sgd	1e-05	invscaling	0.1	True	0.9241
128x1	tanh	adam	1e-05	invscaling	0.1	True	0.95655
128x1	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97706
128x1	tanh	sgd	1e-05	invscaling	0.01	True	0.86913
128x1	tanh	adam	1e-05	invscaling	0.01	True	0.94963
128x1	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97939
128x1	tanh	sgd	1e-05	invscaling	0.001	True	0.51152
128x1	tanh	adam	1e-05	invscaling	0.001	True	0.94265
128x1	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97939
128x1	tanh	sgd	1e-05	invscaling	0.0001	True	0.50037
128x1	tanh	adam	1e-05	invscaling	0.0001	True	0.82341
128x1	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97484
128x2	tanh	sgd	1e-05	adaptive	0.1	True	0.96554
128x2	tanh	adam	1e-05	adaptive	0.1	True	0.92447
128x2	tanh	lbfgs	1e-05	adaptive	0.1	True	0.98393
128x2	tanh	sgd	1e-05	adaptive	0.01	True	0.95877
128x2	tanh	adam	1e-05	adaptive	0.01	True	0.96099
128x2	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97484
128x2	tanh	sgd	1e-05	adaptive	0.001	True	0.91755
128x2	tanh	adam	1e-05	adaptive	0.001	True	0.9518
128x2	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97939
128x2	tanh	sgd	1e-05	adaptive	0.0001	True	0.71168
128x2	tanh	adam	1e-05	adaptive	0.0001	True	0.87854
128x2	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97939
128x2	tanh	sgd	1e-05	invscaling	0.1	True	0.93362
128x2	tanh	adam	1e-05	invscaling	0.1	True	0.95645
128x2	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97484
128x2	tanh	sgd	1e-05	invscaling	0.01	True	0.89894
128x2	tanh	adam	1e-05	invscaling	0.01	True	0.96554
128x2	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97484
128x2	tanh	sgd	1e-05	invscaling	0.001	True	0.56543
128x2	tanh	adam	1e-05	invscaling	0.001	True	0.94942
128x2	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97939
128x2	tanh	sgd	1e-05	invscaling	0.0001	True	0.50877
128x2	tanh	adam	1e-05	invscaling	0.0001	True	0.90365
128x2	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97484
128x3	tanh	sgd	1e-05	adaptive	0.1	True	0.95185
128x3	tanh	adam	1e-05	adaptive	0.1	True	0.91047
128x3	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97257
128x3	tanh	sgd	1e-05	adaptive	0.01	True	0.94038
128x3	tanh	adam	1e-05	adaptive	0.01	True	0.95185
128x3	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97484
128x3	tanh	sgd	1e-05	adaptive	0.001	True	0.89223
128x3	tanh	adam	1e-05	adaptive	0.001	True	0.96089
128x3	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97711
128x3	tanh	sgd	1e-05	adaptive	0.0001	True	0.7935
128x3	tanh	adam	1e-05	adaptive	0.0001	True	0.89678
128x3	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97257
128x3	tanh	sgd	1e-05	invscaling	0.1	True	0.94958
128x3	tanh	adam	1e-05	invscaling	0.1	True	0.93568
128x3	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97711
128x3	tanh	sgd	1e-05	invscaling	0.01	True	0.87627
128x3	tanh	adam	1e-05	invscaling	0.01	True	0.9657
128x3	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97484
128x3	tanh	sgd	1e-05	invscaling	0.001	True	0.61443
128x3	tanh	adam	1e-05	invscaling	0.001	True	0.94947
128x3	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97939
128x3	tanh	sgd	1e-05	invscaling	0.0001	True	0.5463
128x3	tanh	adam	1e-05	invscaling	0.0001	True	0.90608
128x3	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97257
256x1	tanh	sgd	1e-05	adaptive	0.1	True	0.94725
256x1	tanh	adam	1e-05	adaptive	0.1	True	0.95412
256x1	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97711
256x1	tanh	sgd	1e-05	adaptive	0.01	True	0.94255
256x1	tanh	adam	1e-05	adaptive	0.01	True	0.95412
256x1	tanh	lbfgs	1e-05	adaptive	0.01	True	0.98166
256x1	tanh	sgd	1e-05	adaptive	0.001	True	0.92886
256x1	tanh	adam	1e-05	adaptive	0.001	True	0.95629
256x1	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97484
256x1	tanh	sgd	1e-05	adaptive	0.0001	True	0.76158
256x1	tanh	adam	1e-05	adaptive	0.0001	True	0.88547
256x1	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97939
256x1	tanh	sgd	1e-05	invscaling	0.1	True	0.93578
256x1	tanh	adam	1e-05	invscaling	0.1	True	0.96327
256x1	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97711
256x1	tanh	sgd	1e-05	invscaling	0.01	True	0.90148
256x1	tanh	adam	1e-05	invscaling	0.01	True	0.95159
256x1	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97939
256x1	tanh	sgd	1e-05	invscaling	0.001	True	0.58985
256x1	tanh	adam	1e-05	invscaling	0.001	True	0.94704
256x1	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97939
256x1	tanh	sgd	1e-05	invscaling	0.0001	True	0.62659
256x1	tanh	adam	1e-05	invscaling	0.0001	True	0.88753
256x1	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97939
256x2	tanh	sgd	1e-05	adaptive	0.1	True	0.96089
256x2	tanh	adam	1e-05	adaptive	0.1	True	0.94487
256x2	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97711
256x2	tanh	sgd	1e-05	adaptive	0.01	True	0.96099
256x2	tanh	adam	1e-05	adaptive	0.01	True	0.95867
256x2	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97939
256x2	tanh	sgd	1e-05	adaptive	0.001	True	0.94038
256x2	tanh	adam	1e-05	adaptive	0.001	True	0.96094
256x2	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97939
256x2	tanh	sgd	1e-05	adaptive	0.0001	True	0.8621
256x2	tanh	adam	1e-05	adaptive	0.0001	True	0.92875
256x2	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97484
256x2	tanh	sgd	1e-05	invscaling	0.1	True	0.94033
256x2	tanh	adam	1e-05	invscaling	0.1	True	0.94239
256x2	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97484
256x2	tanh	sgd	1e-05	invscaling	0.01	True	0.93118
256x2	tanh	adam	1e-05	invscaling	0.01	True	0.96792
256x2	tanh	lbfgs	1e-05	invscaling	0.01	True	0.98166
256x2	tanh	sgd	1e-05	invscaling	0.001	True	0.55655
256x2	tanh	adam	1e-05	invscaling	0.001	True	0.96094
256x2	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97939
256x2	tanh	sgd	1e-05	invscaling	0.0001	True	0.55957
256x2	tanh	adam	1e-05	invscaling	0.0001	True	0.90835
256x2	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.98166
256x3	tanh	sgd	1e-05	adaptive	0.1	True	0.96099
256x3	tanh	adam	1e-05	adaptive	0.1	True	0.9314
256x3	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97711
256x3	tanh	sgd	1e-05	adaptive	0.01	True	0.94952
256x3	tanh	adam	1e-05	adaptive	0.01	True	0.94482
256x3	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97257
256x3	tanh	sgd	1e-05	adaptive	0.001	True	0.93795
256x3	tanh	adam	1e-05	adaptive	0.001	True	0.95407
256x3	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97484
256x3	tanh	sgd	1e-05	adaptive	0.0001	True	0.862
256x3	tanh	adam	1e-05	adaptive	0.0001	True	0.93108
256x3	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97711
256x3	tanh	sgd	1e-05	invscaling	0.1	True	0.9472
256x3	tanh	adam	1e-05	invscaling	0.1	True	0.92215
256x3	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97939
256x3	tanh	sgd	1e-05	invscaling	0.01	True	0.91284
256x3	tanh	adam	1e-05	invscaling	0.01	True	0.95877
256x3	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97706
256x3	tanh	sgd	1e-05	invscaling	0.001	True	0.59614
256x3	tanh	adam	1e-05	invscaling	0.001	True	0.96337
256x3	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97711
256x3	tanh	sgd	1e-05	invscaling	0.0001	True	0.50412
256x3	tanh	adam	1e-05	invscaling	0.0001	True	0.94725
256x3	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97484
321x1	tanh	sgd	1e-05	adaptive	0.1	True	0.96099
321x1	tanh	adam	1e-05	adaptive	0.1	True	0.94725
321x1	tanh	lbfgs	1e-05	adaptive	0.1	True	0.98166
321x1	tanh	sgd	1e-05	adaptive	0.01	True	0.9518
321x1	tanh	adam	1e-05	adaptive	0.01	True	0.96327
321x1	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97484
