n_estimators	max_features	max_depth	min_samples_split	min_samples_leaf	bagging	accuracy
40	8	20	3	4	True	0.96327
50	8	20	3	4	True	0.95856
100	8	20	3	4	True	0.96559
1	8	20	4	4	True	0.87622
2	8	20	4	4	True	0.90618
3	8	20	4	4	True	0.92437
4	8	20	4	4	True	0.93134
5	8	20	4	4	True	0.92891
6	8	20	4	4	True	0.96105
7	8	20	4	4	True	0.93578
8	8	20	4	4	True	0.94725
9	8	20	4	4	True	0.9564
10	8	20	4	4	True	0.9611
20	8	20	4	4	True	0.96094
30	8	20	4	4	True	0.96105
40	8	20	4	4	True	0.96094
50	8	20	4	4	True	0.97252
100	8	20	4	4	True	0.96332
1	10	20	2	1	True	0.8694
2	10	20	2	1	True	0.86697
3	10	20	2	1	True	0.92183
4	10	20	2	1	True	0.92907
5	10	20	2	1	True	0.94508
6	10	20	2	1	True	0.9518
7	10	20	2	1	True	0.94725
8	10	20	2	1	True	0.94493
9	10	20	2	1	True	0.9611
10	10	20	2	1	True	0.95634
20	10	20	2	1	True	0.9564
30	10	20	2	1	True	0.96094
40	10	20	2	1	True	0.96781
50	10	20	2	1	True	0.96549
100	10	20	2	1	True	0.97019
1	10	20	3	1	True	0.8648
2	10	20	3	1	True	0.88515
3	10	20	3	1	True	0.91062
4	10	20	3	1	True	0.92653
5	10	20	3	1	True	0.92865
6	10	20	3	1	True	0.95196
7	10	20	3	1	True	0.94255
8	10	20	3	1	True	0.94952
9	10	20	3	1	True	0.95402
10	10	20	3	1	True	0.9564
20	10	20	3	1	True	0.96781
30	10	20	3	1	True	0.96781
40	10	20	3	1	True	0.96321
50	10	20	3	1	True	0.97474
100	10	20	3	1	True	0.97014
1	10	20	4	1	True	0.88081
2	10	20	4	1	True	0.89212
3	10	20	4	1	True	0.92204
4	10	20	4	1	True	0.91522
5	10	20	4	1	True	0.95418
6	10	20	4	1	True	0.94239
7	10	20	4	1	True	0.95418
8	10	20	4	1	True	0.93562
9	10	20	4	1	True	0.94715
10	10	20	4	1	True	0.96099
20	10	20	4	1	True	0.96564
30	10	20	4	1	True	0.96332
40	10	20	4	1	True	0.96554
50	10	20	4	1	True	0.97014
100	10	20	4	1	True	0.97014
1	10	20	2	2	True	0.90576
2	10	20	2	2	True	0.91052
3	10	20	2	2	True	0.92881
4	10	20	2	2	True	0.93568
5	10	20	2	2	True	0.94725
6	10	20	2	2	True	0.94239
7	10	20	2	2	True	0.95174
8	10	20	2	2	True	0.94958
9	10	20	2	2	True	0.95867
10	10	20	2	2	True	0.96094
20	10	20	2	2	True	0.96786
30	10	20	2	2	True	0.96554
40	10	20	2	2	True	0.96327
50	10	20	2	2	True	0.96554
100	10	20	2	2	True	0.97246
1	10	20	3	2	True	0.86919
2	10	20	3	2	True	0.91274
3	10	20	3	2	True	0.92215
4	10	20	3	2	True	0.92632
5	10	20	3	2	True	0.94503
6	10	20	3	2	True	0.95407
7	10	20	3	2	True	0.938
8	10	20	3	2	True	0.94493
9	10	20	3	2	True	0.94725
10	10	20	3	2	True	0.95174
20	10	20	3	2	True	0.95877
30	10	20	3	2	True	0.96332
40	10	20	3	2	True	0.96786
50	10	20	3	2	True	0.97014
100	10	20	3	2	True	0.96786
1	10	20	4	2	True	0.90365
2	10	20	4	2	True	0.89688
3	10	20	4	2	True	0.92875
4	10	20	4	2	True	0.9565
5	10	20	4	2	True	0.94027
6	10	20	4	2	True	0.94725
7	10	20	4	2	True	0.94487
8	10	20	4	2	True	0.94249
9	10	20	4	2	True	0.96337
10	10	20	4	2	True	0.94493
20	10	20	4	2	True	0.97479
30	10	20	4	2	True	0.96786
40	10	20	4	2	True	0.97479
50	10	20	4	2	True	0.95862
100	10	20	4	2	True	0.96321
1	10	20	2	3	True	0.90592
2	10	20	2	3	True	0.90608
3	10	20	2	3	True	0.93108
4	10	20	2	3	True	0.92193
5	10	20	2	3	True	0.94942
6	10	20	2	3	True	0.95185
7	10	20	2	3	True	0.94022
8	10	20	2	3	True	0.9518
9	10	20	2	3	True	0.95169
10	10	20	2	3	True	0.95645
20	10	20	2	3	True	0.95634
30	10	20	2	3	True	0.96099
40	10	20	2	3	True	0.96554
50	10	20	2	3	True	0.96554
100	10	20	2	3	True	0.97252
1	10	20	3	3	True	0.87389
2	10	20	3	3	True	0.90581
3	10	20	3	3	True	0.92431
4	10	20	3	3	True	0.91956
5	10	20	3	3	True	0.93113
6	10	20	3	3	True	0.95169
7	10	20	3	3	True	0.9519
8	10	20	3	3	True	0.9473
9	10	20	3	3	True	0.9472
10	10	20	3	3	True	0.9519
20	10	20	3	3	True	0.95872
30	10	20	3	3	True	0.96332
40	10	20	3	3	True	0.96084
50	10	20	3	3	True	0.95872
100	10	20	3	3	True	0.96554
1	10	20	4	3	True	0.89017
2	10	20	4	3	True	0.88288
3	10	20	4	3	True	0.91068
4	10	20	4	3	True	0.92643
5	10	20	4	3	True	0.94498
6	10	20	4	3	True	0.94482
7	10	20	4	3	True	0.93557
8	10	20	4	3	True	0.94027
9	10	20	4	3	True	0.94049
10	10	20	4	3	True	0.96554
20	10	20	4	3	True	0.9564
30	10	20	4	3	True	0.95883
40	10	20	4	3	True	0.96554
50	10	20	4	3	True	0.96559
100	10	20	4	3	True	0.97019
1	10	20	2	4	True	0.86686
2	10	20	2	4	True	0.89937
3	10	20	2	4	True	0.92215
4	10	20	2	4	True	0.92653
5	10	20	2	4	True	0.95645
6	10	20	2	4	True	0.94937
7	10	20	2	4	True	0.94725
8	10	20	2	4	True	0.95407
9	10	20	2	4	True	0.95645
10	10	20	2	4	True	0.96099
20	10	20	2	4	True	0.9565
30	10	20	2	4	True	0.94952
40	10	20	2	4	True	0.96786
50	10	20	2	4	True	0.97014
100	10	20	2	4	True	0.97024
1	10	20	3	4	True	0.88536
2	10	20	3	4	True	0.91057
3	10	20	3	4	True	0.92891
4	10	20	3	4	True	0.9426
5	10	20	3	4	True	0.93103
6	10	20	3	4	True	0.93805
7	10	20	3	4	True	0.95418
8	10	20	3	4	True	0.93108
9	10	20	3	4	True	0.94038
10	10	20	3	4	True	0.95185
20	10	20	3	4	True	0.9426
30	10	20	3	4	True	0.96099
40	10	20	3	4	True	0.96321
50	10	20	3	4	True	0.96094
100	10	20	3	4	True	0.97019
1	10	20	4	4	True	0.87606
2	10	20	4	4	True	0.90122
3	10	20	4	4	True	0.92664
4	10	20	4	4	True	0.93351
5	10	20	4	4	True	0.92659
6	10	20	4	4	True	0.95402
7	10	20	4	4	True	0.93351
8	10	20	4	4	True	0.9519
9	10	20	4	4	True	0.95634
10	10	20	4	4	True	0.95407
20	10	20	4	4	True	0.96321
30	10	20	4	4	True	0.96559
40	10	20	4	4	True	0.95883
50	10	20	4	4	True	0.96105
100	10	20	4	4	True	0.96099
1	12	20	2	1	True	0.88531
2	12	20	2	1	True	0.9083
3	12	20	2	1	True	0.93832
4	12	20	2	1	True	0.938
5	12	20	2	1	True	0.93594
6	12	20	2	1	True	0.94276
7	12	20	2	1	True	0.93573
8	12	20	2	1	True	0.96327
9	12	20	2	1	True	0.95407
10	12	20	2	1	True	0.95418
20	12	20	2	1	True	0.96337
30	12	20	2	1	True	0.96781
40	12	20	2	1	True	0.96327
50	12	20	2	1	True	0.96327
100	12	20	2	1	True	0.96786
1	12	20	3	1	True	0.86913
2	12	20	3	1	True	0.88081
3	12	20	3	1	True	0.93346
4	12	20	3	1	True	0.92426
5	12	20	3	1	True	0.9519
6	12	20	3	1	True	0.94508
7	12	20	3	1	True	0.93584
8	12	20	3	1	True	0.94043
9	12	20	3	1	True	0.93562
10	12	20	3	1	True	0.9564
20	12	20	3	1	True	0.97003
30	12	20	3	1	True	0.96099
40	12	20	3	1	True	0.95629
50	12	20	3	1	True	0.95634
100	12	20	3	1	True	0.96781
1	12	20	4	1	True	0.87643
2	12	20	4	1	True	0.9037
3	12	20	4	1	True	0.92891
4	12	20	4	1	True	0.93124
5	12	20	4	1	True	0.92193
6	12	20	4	1	True	0.94265
7	12	20	4	1	True	0.94958
8	12	20	4	1	True	0.95396
9	12	20	4	1	True	0.95867
10	12	20	4	1	True	0.93805
20	12	20	4	1	True	0.96332
30	12	20	4	1	True	0.96549
40	12	20	4	1	True	0.96094
50	12	20	4	1	True	0.97241
100	12	20	4	1	True	0.96786
1	12	20	2	2	True	0.87352
2	12	20	2	2	True	0.90354
3	12	20	2	2	True	0.94487
4	12	20	2	2	True	0.92431
5	12	20	2	2	True	0.94709
6	12	20	2	2	True	0.94937
7	12	20	2	2	True	0.94271
8	12	20	2	2	True	0.94715
9	12	20	2	2	True	0.9472
10	12	20	2	2	True	0.9518
20	12	20	2	2	True	0.96564
30	12	20	2	2	True	0.96549
40	12	20	2	2	True	0.96554
50	12	20	2	2	True	0.97019
100	12	20	2	2	True	0.97014
1	12	20	3	2	True	0.87886
2	12	20	3	2	True	0.90819
3	12	20	3	2	True	0.92199
4	12	20	3	2	True	0.91982
5	12	20	3	2	True	0.94255
6	12	20	3	2	True	0.94255
7	12	20	3	2	True	0.95159
8	12	20	3	2	True	0.96099
9	12	20	3	2	True	0.96327
10	12	20	3	2	True	0.95629
20	12	20	3	2	True	0.96786
30	12	20	3	2	True	0.96781
40	12	20	3	2	True	0.95872
50	12	20	3	2	True	0.96786
100	12	20	3	2	True	0.97019
1	12	20	4	2	True	0.85809
2	12	20	4	2	True	0.9037
3	12	20	4	2	True	0.92193
4	12	20	4	2	True	0.92183
5	12	20	4	2	True	0.94471
6	12	20	4	2	True	0.93356
7	12	20	4	2	True	0.95624
8	12	20	4	2	True	0.96099
9	12	20	4	2	True	0.94249
10	12	20	4	2	True	0.94699
20	12	20	4	2	True	0.96099
30	12	20	4	2	True	0.96554
40	12	20	4	2	True	0.96554
50	12	20	4	2	True	0.97257
100	12	20	4	2	True	0.97024
1	12	20	2	3	True	0.88975
2	12	20	2	3	True	0.91506
3	12	20	2	3	True	0.93562
4	12	20	2	3	True	0.92891
5	12	20	2	3	True	0.94271
6	12	20	2	3	True	0.94725
7	12	20	2	3	True	0.95872
8	12	20	2	3	True	0.95407
9	12	20	2	3	True	0.95396
10	12	20	2	3	True	0.95872
20	12	20	2	3	True	0.96332
30	12	20	2	3	True	0.96781
40	12	20	2	3	True	0.96321
50	12	20	2	3	True	0.96327
100	12	20	2	3	True	0.96792
1	12	20	3	3	True	0.85317
2	12	20	3	3	True	0.92204
3	12	20	3	3	True	0.93573
4	12	20	3	3	True	0.92442
5	12	20	3	3	True	0.95412
6	12	20	3	3	True	0.94725
7	12	20	3	3	True	0.95185
8	12	20	3	3	True	0.96084
9	12	20	3	3	True	0.95872
10	12	20	3	3	True	0.95645
20	12	20	3	3	True	0.96564
30	12	20	3	3	True	0.96792
40	12	20	3	3	True	0.96776
50	12	20	3	3	True	0.96332
100	12	20	3	3	True	0.96786
1	12	20	4	3	True	0.87373
2	12	20	4	3	True	0.92452
3	12	20	4	3	True	0.93351
4	12	20	4	3	True	0.93335
5	12	20	4	3	True	0.94725
6	12	20	4	3	True	0.9519
7	12	20	4	3	True	0.95872
8	12	20	4	3	True	0.95634
9	12	20	4	3	True	0.95634
10	12	20	4	3	True	0.94947
20	12	20	4	3	True	0.95862
30	12	20	4	3	True	0.97252
40	12	20	4	3	True	0.96786
50	12	20	4	3	True	0.97019
100	12	20	4	3	True	0.96792
1	12	20	2	4	True	0.8879
2	12	20	2	4	True	0.89228
3	12	20	2	4	True	0.91506
4	12	20	2	4	True	0.9518
5	12	20	2	4	True	0.92886
6	12	20	2	4	True	0.95412
7	12	20	2	4	True	0.94493
8	12	20	2	4	True	0.96089
9	12	20	2	4	True	0.9472
10	12	20	2	4	True	0.96089
20	12	20	2	4	True	0.95877
30	12	20	2	4	True	0.95634
40	12	20	2	4	True	0.96089
50	12	20	2	4	True	0.96792
100	12	20	2	4	True	0.96554
1	12	20	3	4	True	0.88948
2	12	20	3	4	True	0.91517
3	12	20	3	4	True	0.94725
4	12	20	3	4	True	0.94958
5	12	20	3	4	True	0.96099
6	12	20	3	4	True	0.94958
7	12	20	3	4	True	0.9472
8	12	20	3	4	True	0.95645
9	12	20	3	4	True	0.9472
10	12	20	3	4	True	0.94715
20	12	20	3	4	True	0.94942
30	12	20	3	4	True	0.97252
40	12	20	3	4	True	0.96786
50	12	20	3	4	True	0.96554
100	12	20	3	4	True	0.96105
1	12	20	4	4	True	0.89477
2	12	20	4	4	True	0.91506
3	12	20	4	4	True	0.92437
4	12	20	4	4	True	0.9379
5	12	20	4	4	True	0.93816
6	12	20	4	4	True	0.95856
7	12	20	4	4	True	0.94709
8	12	20	4	4	True	0.95645
9	12	20	4	4	True	0.94249
10	12	20	4	4	True	0.94027
20	12	20	4	4	True	0.95867
30	12	20	4	4	True	0.96792
40	12	20	4	4	True	0.96559
50	12	20	4	4	True	0.96321
100	12	20	4	4	True	0.97479
1	14	20	2	1	True	0.89683
2	14	20	2	1	True	0.88108
3	14	20	2	1	True	0.93356
4	14	20	2	1	True	0.92637
5	14	20	2	1	True	0.94276
6	14	20	2	1	True	0.94493
7	14	20	2	1	True	0.95655
8	14	20	2	1	True	0.938
9	14	20	2	1	True	0.95872
10	14	20	2	1	True	0.95412
20	14	20	2	1	True	0.96094
30	14	20	2	1	True	0.97019
40	14	20	2	1	True	0.96564
50	14	20	2	1	True	0.97019
100	14	20	2	1	True	0.97019
1	14	20	3	1	True	0.88103
2	14	20	3	1	True	0.89683
3	14	20	3	1	True	0.91945
4	14	20	3	1	True	0.92447
5	14	20	3	1	True	0.9472
6	14	20	3	1	True	0.9519
7	14	20	3	1	True	0.94049
8	14	20	3	1	True	0.95872
9	14	20	3	1	True	0.95407
10	14	20	3	1	True	0.9518
20	14	20	3	1	True	0.96094
30	14	20	3	1	True	0.96786
40	14	20	3	1	True	0.95872
50	14	20	3	1	True	0.96321
100	14	20	3	1	True	0.96781
1	14	20	4	1	True	0.8945
2	14	20	4	1	True	0.91279
3	14	20	4	1	True	0.92437
4	14	20	4	1	True	0.94725
5	14	20	4	1	True	0.95428
6	14	20	4	1	True	0.95423
7	14	20	4	1	True	0.95645
8	14	20	4	1	True	0.9518
9	14	20	4	1	True	0.95412
10	14	20	4	1	True	0.95867
20	14	20	4	1	True	0.96332
30	14	20	4	1	True	0.97246
40	14	20	4	1	True	0.96781
50	14	20	4	1	True	0.96105
100	14	20	4	1	True	0.97246
1	14	20	2	2	True	0.8851
2	14	20	2	2	True	0.91057
3	14	20	2	2	True	0.94043
4	14	20	2	2	True	0.94033
5	14	20	2	2	True	0.94974
6	14	20	2	2	True	0.94958
7	14	20	2	2	True	0.95867
8	14	20	2	2	True	0.94725
9	14	20	2	2	True	0.96316
10	14	20	2	2	True	0.96554
20	14	20	2	2	True	0.96792
30	14	20	2	2	True	0.96786
40	14	20	2	2	True	0.96559
50	14	20	2	2	True	0.96564
100	14	20	2	2	True	0.97014
1	14	20	3	2	True	0.86913
2	14	20	3	2	True	0.88515
3	14	20	3	2	True	0.91982
4	14	20	3	2	True	0.94704
5	14	20	3	2	True	0.94741
6	14	20	3	2	True	0.94725
7	14	20	3	2	True	0.94952
8	14	20	3	2	True	0.96327
9	14	20	3	2	True	0.95174
10	14	20	3	2	True	0.96099
20	14	20	3	2	True	0.96786
30	14	20	3	2	True	0.96792
40	14	20	3	2	True	0.97014
50	14	20	3	2	True	0.96559
100	14	20	3	2	True	0.97479
1	14	20	4	2	True	0.90603
2	14	20	4	2	True	0.9084
3	14	20	4	2	True	0.93578
4	14	20	4	2	True	0.9426
5	14	20	4	2	True	0.94027
6	14	20	4	2	True	0.95196
7	14	20	4	2	True	0.93568
8	14	20	4	2	True	0.95624
9	14	20	4	2	True	0.96316
10	14	20	4	2	True	0.96786
20	14	20	4	2	True	0.96327
30	14	20	4	2	True	0.95856
40	14	20	4	2	True	0.97246
50	14	20	4	2	True	0.96559
100	14	20	4	2	True	0.96321
1	14	20	2	3	True	0.86459
2	14	20	2	3	True	0.91258
3	14	20	2	3	True	0.93113
4	14	20	2	3	True	0.93578
5	14	20	2	3	True	0.94038
6	14	20	2	3	True	0.92891
7	14	20	2	3	True	0.94947
8	14	20	2	3	True	0.95402
9	14	20	2	3	True	0.94952
10	14	20	2	3	True	0.9565
20	14	20	2	3	True	0.96792
30	14	20	2	3	True	0.97024
40	14	20	2	3	True	0.96781
50	14	20	2	3	True	0.97024
100	14	20	2	3	True	0.96332
1	14	20	3	3	True	0.91522
2	14	20	3	3	True	0.91506
3	14	20	3	3	True	0.94271
4	14	20	3	3	True	0.92881
5	14	20	3	3	True	0.93805
6	14	20	3	3	True	0.94952
7	14	20	3	3	True	0.94281
8	14	20	3	3	True	0.95412
9	14	20	3	3	True	0.94709
10	14	20	3	3	True	0.95412
20	14	20	3	3	True	0.97474
30	14	20	3	3	True	0.96316
40	14	20	3	3	True	0.97479
50	14	20	3	3	True	0.96332
100	14	20	3	3	True	0.96559
1	14	20	4	3	True	0.89678
2	14	20	4	3	True	0.91041
3	14	20	4	3	True	0.94271
4	14	20	4	3	True	0.938
5	14	20	4	3	True	0.94937
6	14	20	4	3	True	0.95645
7	14	20	4	3	True	0.95634
8	14	20	4	3	True	0.94715
9	14	20	4	3	True	0.94958
10	14	20	4	3	True	0.94487
20	14	20	4	3	True	0.96094
30	14	20	4	3	True	0.94952
40	14	20	4	3	True	0.96327
50	14	20	4	3	True	0.96554
100	14	20	4	3	True	0.96332
1	14	20	2	4	True	0.87838
2	14	20	2	4	True	0.89672
3	14	20	2	4	True	0.92648
4	14	20	2	4	True	0.94493
5	14	20	2	4	True	0.93335
6	14	20	2	4	True	0.95412
7	14	20	2	4	True	0.95872
8	14	20	2	4	True	0.96099
9	14	20	2	4	True	0.94699
10	14	20	2	4	True	0.9472
20	14	20	2	4	True	0.95872
30	14	20	2	4	True	0.9564
40	14	20	2	4	True	0.96786
50	14	20	2	4	True	0.97246
100	14	20	2	4	True	0.96332
1	14	20	3	4	True	0.90164
2	14	20	3	4	True	0.91305
3	14	20	3	4	True	0.94027
4	14	20	3	4	True	0.95185
5	14	20	3	4	True	0.95407
6	14	20	3	4	True	0.95402
7	14	20	3	4	True	0.95412
8	14	20	3	4	True	0.96105
9	14	20	3	4	True	0.95645
10	14	20	3	4	True	0.94952
20	14	20	3	4	True	0.95174
30	14	20	3	4	True	0.96332
40	14	20	3	4	True	0.96089
50	14	20	3	4	True	0.97019
100	14	20	3	4	True	0.96786
1	14	20	4	4	True	0.89678
2	14	20	4	4	True	0.90365
3	14	20	4	4	True	0.91739
4	14	20	4	4	True	0.95185
5	14	20	4	4	True	0.94503
6	14	20	4	4	True	0.93362
7	14	20	4	4	True	0.96549
8	14	20	4	4	True	0.9518
9	14	20	4	4	True	0.94038
10	14	20	4	4	True	0.96089
20	14	20	4	4	True	0.96327
30	14	20	4	4	True	0.96327
40	14	20	4	4	True	0.97019
50	14	20	4	4	True	0.96321
100	14	20	4	4	True	0.96337
1	16	20	2	1	True	0.874
2	16	20	2	1	True	0.89678
3	16	20	2	1	True	0.92426
4	16	20	2	1	True	0.92659
5	16	20	2	1	True	0.95402
6	16	20	2	1	True	0.93811
7	16	20	2	1	True	0.94271
8	16	20	2	1	True	0.96089
9	16	20	2	1	True	0.94952
10	16	20	2	1	True	0.95867
20	16	20	2	1	True	0.96327
30	16	20	2	1	True	0.96559
40	16	20	2	1	True	0.97019
50	16	20	2	1	True	0.96327
100	16	20	2	1	True	0.96786
1	16	20	3	1	True	0.86945
2	16	20	3	1	True	0.88557
3	16	20	3	1	True	0.93108
4	16	20	3	1	True	0.93335
5	16	20	3	1	True	0.94487
6	16	20	3	1	True	0.94477
7	16	20	3	1	True	0.95407
8	16	20	3	1	True	0.9564
9	16	20	3	1	True	0.95185
10	16	20	3	1	True	0.95174
20	16	20	3	1	True	0.96549
30	16	20	3	1	True	0.96792
40	16	20	3	1	True	0.97008
50	16	20	3	1	True	0.97024
100	16	20	3	1	True	0.97468
1	16	20	4	1	True	0.89699
2	16	20	4	1	True	0.88525
3	16	20	4	1	True	0.93346
4	16	20	4	1	True	0.94255
5	16	20	4	1	True	0.94477
6	16	20	4	1	True	0.94027
7	16	20	4	1	True	0.94049
8	16	20	4	1	True	0.94958
9	16	20	4	1	True	0.95185
10	16	20	4	1	True	0.95174
20	16	20	4	1	True	0.95634
30	16	20	4	1	True	0.97014
40	16	20	4	1	True	0.97019
50	16	20	4	1	True	0.97246
100	16	20	4	1	True	0.96327
1	16	20	2	2	True	0.91068
2	16	20	2	2	True	0.92415
3	16	20	2	2	True	0.92426
4	16	20	2	2	True	0.9334
5	16	20	2	2	True	0.94952
6	16	20	2	2	True	0.94931
7	16	20	2	2	True	0.95862
8	16	20	2	2	True	0.9518
9	16	20	2	2	True	0.95877
10	16	20	2	2	True	0.94937
20	16	20	2	2	True	0.96321
30	16	20	2	2	True	0.96554
40	16	20	2	2	True	0.95867
50	16	20	2	2	True	0.95867
100	16	20	2	2	True	0.96786
1	16	20	3	2	True	0.90825
2	16	20	3	2	True	0.8944
3	16	20	3	2	True	0.94033
4	16	20	3	2	True	0.92415
5	16	20	3	2	True	0.94487
6	16	20	3	2	True	0.94487
7	16	20	3	2	True	0.95872
8	16	20	3	2	True	0.9564
9	16	20	3	2	True	0.94249
10	16	20	3	2	True	0.95867
20	16	20	3	2	True	0.97019
30	16	20	3	2	True	0.95407
40	16	20	3	2	True	0.96316
50	16	20	3	2	True	0.96549
100	16	20	3	2	True	0.97014
1	16	20	4	2	True	0.91755
2	16	20	4	2	True	0.87865
3	16	20	4	2	True	0.94027
4	16	20	4	2	True	0.91728
5	16	20	4	2	True	0.95867
6	16	20	4	2	True	0.9519
7	16	20	4	2	True	0.9472
8	16	20	4	2	True	0.9472
9	16	20	4	2	True	0.95877
10	16	20	4	2	True	0.9565
20	16	20	4	2	True	0.9564
30	16	20	4	2	True	0.96554
40	16	20	4	2	True	0.97252
50	16	20	4	2	True	0.96559
100	16	20	4	2	True	0.97014
1	16	20	2	3	True	0.88314
2	16	20	2	3	True	0.91723
3	16	20	2	3	True	0.93367
4	16	20	2	3	True	0.94477
5	16	20	2	3	True	0.94519
6	16	20	2	3	True	0.94937
7	16	20	2	3	True	0.94958
8	16	20	2	3	True	0.9519
9	16	20	2	3	True	0.95645
10	16	20	2	3	True	0.95174
20	16	20	2	3	True	0.96554
30	16	20	2	3	True	0.96094
40	16	20	2	3	True	0.95862
50	16	20	2	3	True	0.96099
100	16	20	2	3	True	0.97252
1	16	20	3	3	True	0.88531
2	16	20	3	3	True	0.91723
3	16	20	3	3	True	0.92896
4	16	20	3	3	True	0.94725
5	16	20	3	3	True	0.94942
6	16	20	3	3	True	0.95872
7	16	20	3	3	True	0.95645
8	16	20	3	3	True	0.9472
9	16	20	3	3	True	0.95862
10	16	20	3	3	True	0.96802
20	16	20	3	3	True	0.96327
30	16	20	3	3	True	0.95629
40	16	20	3	3	True	0.96094
50	16	20	3	3	True	0.96781
100	16	20	3	3	True	0.95867
1	16	20	4	3	True	0.87378
2	16	20	4	3	True	0.90825
3	16	20	4	3	True	0.91522
4	16	20	4	3	True	0.94715
5	16	20	4	3	True	0.93584
6	16	20	4	3	True	0.94715
7	16	20	4	3	True	0.94715
8	16	20	4	3	True	0.9611
9	16	20	4	3	True	0.95872
10	16	20	4	3	True	0.95645
20	16	20	4	3	True	0.96559
30	16	20	4	3	True	0.96332
40	16	20	4	3	True	0.96554
50	16	20	4	3	True	0.95872
100	16	20	4	3	True	0.96099
1	16	20	2	4	True	0.92183
2	16	20	2	4	True	0.913
3	16	20	2	4	True	0.94027
4	16	20	2	4	True	0.92896
5	16	20	2	4	True	0.94715
6	16	20	2	4	True	0.95407
7	16	20	2	4	True	0.94493
8	16	20	2	4	True	0.94498
9	16	20	2	4	True	0.95645
10	16	20	2	4	True	0.9472
20	16	20	2	4	True	0.96327
30	16	20	2	4	True	0.95634
40	16	20	2	4	True	0.96099
50	16	20	2	4	True	0.96781
100	16	20	2	4	True	0.96564
1	16	20	3	4	True	0.86221
2	16	20	3	4	True	0.93124
3	16	20	3	4	True	0.94244
4	16	20	3	4	True	0.94508
5	16	20	3	4	True	0.93811
6	16	20	3	4	True	0.95645
7	16	20	3	4	True	0.94942
8	16	20	3	4	True	0.96564
9	16	20	3	4	True	0.95407
10	16	20	3	4	True	0.95634
20	16	20	3	4	True	0.95872
30	16	20	3	4	True	0.96543
40	16	20	3	4	True	0.95877
50	16	20	3	4	True	0.96781
100	16	20	3	4	True	0.96559
1	16	20	4	4	True	0.88969
2	16	20	4	4	True	0.9176
3	16	20	4	4	True	0.93811
4	16	20	4	4	True	0.9334
5	16	20	4	4	True	0.94715
6	16	20	4	4	True	0.94487
7	16	20	4	4	True	0.95645
8	16	20	4	4	True	0.94725
9	16	20	4	4	True	0.95174
10	16	20	4	4	True	0.95407
20	16	20	4	4	True	0.96099
30	16	20	4	4	True	0.96099
40	16	20	4	4	True	0.97252
50	16	20	4	4	True	0.96099
100	16	20	4	4	True	0.97019
1	18	20	2	1	True	0.89699
2	18	20	2	1	True	0.91068
3	18	20	2	1	True	0.95629
4	18	20	2	1	True	0.93346
5	18	20	2	1	True	0.94725
6	18	20	2	1	True	0.94038
7	18	20	2	1	True	0.9518
8	18	20	2	1	True	0.95412
9	18	20	2	1	True	0.95867
10	18	20	2	1	True	0.95877
20	18	20	2	1	True	0.96321
30	18	20	2	1	True	0.96786
40	18	20	2	1	True	0.96786
50	18	20	2	1	True	0.96786
100	18	20	2	1	True	0.96786
1	18	20	3	1	True	0.93351
2	18	20	3	1	True	0.89456
3	18	20	3	1	True	0.92215
4	18	20	3	1	True	0.93319
5	18	20	3	1	True	0.94508
6	18	20	3	1	True	0.94271
7	18	20	3	1	True	0.96321
8	18	20	3	1	True	0.94487
9	18	20	3	1	True	0.96327
10	18	20	3	1	True	0.95169
20	18	20	3	1	True	0.95867
30	18	20	3	1	True	0.96786
40	18	20	3	1	True	0.96559
50	18	20	3	1	True	0.96792
100	18	20	3	1	True	0.96786
1	18	20	4	1	True	0.93118
2	18	20	4	1	True	0.9084
3	18	20	4	1	True	0.92437
4	18	20	4	1	True	0.93351
5	18	20	4	1	True	0.93805
6	18	20	4	1	True	0.94952
7	18	20	4	1	True	0.95872
8	18	20	4	1	True	0.96084
9	18	20	4	1	True	0.95645
10	18	20	4	1	True	0.96327
20	18	20	4	1	True	0.96564
30	18	20	4	1	True	0.96781
40	18	20	4	1	True	0.96792
50	18	20	4	1	True	0.96786
100	18	20	4	1	True	0.96786
1	18	20	2	2	True	0.90603
2	18	20	2	2	True	0.88985
3	18	20	2	2	True	0.93805
4	18	20	2	2	True	0.94508
5	18	20	2	2	True	0.9519
6	18	20	2	2	True	0.96554
7	18	20	2	2	True	0.94477
8	18	20	2	2	True	0.96327
9	18	20	2	2	True	0.95169
10	18	20	2	2	True	0.97236
20	18	20	2	2	True	0.96099
30	18	20	2	2	True	0.96786
40	18	20	2	2	True	0.96554
50	18	20	2	2	True	0.96327
100	18	20	2	2	True	0.97014
1	18	20	3	2	True	0.8851
2	18	20	3	2	True	0.90354
3	18	20	3	2	True	0.93108
4	18	20	3	2	True	0.9195
5	18	20	3	2	True	0.94947
6	18	20	3	2	True	0.94958
7	18	20	3	2	True	0.94276
8	18	20	3	2	True	0.96089
9	18	20	3	2	True	0.95634
10	18	20	3	2	True	0.94493
20	18	20	3	2	True	0.95877
30	18	20	3	2	True	0.96786
40	18	20	3	2	True	0.95872
50	18	20	3	2	True	0.96554
100	18	20	3	2	True	0.96564
1	18	20	4	2	True	0.91062
2	18	20	4	2	True	0.90613
3	18	20	4	2	True	0.95418
4	18	20	4	2	True	0.938
5	18	20	4	2	True	0.94519
6	18	20	4	2	True	0.94043
7	18	20	4	2	True	0.95862
8	18	20	4	2	True	0.96797
