n_estimators	max_features	max_depth	min_samples_split	min_samples_leaf	bagging	accuracy
40	2	10	3	4	True	0.9564
50	2	10	3	4	True	0.94027
100	2	10	3	4	True	0.94947
1	2	10	4	4	True	0.77088
2	2	10	4	4	True	0.83462
3	2	10	4	4	True	0.85809
4	2	10	4	4	True	0.88747
5	2	10	4	4	True	0.88547
6	2	10	4	4	True	0.89202
7	2	10	4	4	True	0.93584
8	2	10	4	4	True	0.91263
9	2	10	4	4	True	0.91749
10	2	10	4	4	True	0.92215
20	2	10	4	4	True	0.94493
30	2	10	4	4	True	0.94709
40	2	10	4	4	True	0.94255
50	2	10	4	4	True	0.94255
100	2	10	4	4	True	0.94493
1	4	10	2	1	True	0.83726
2	4	10	2	1	True	0.85079
3	4	10	2	1	True	0.89228
4	4	10	2	1	True	0.91068
5	4	10	2	1	True	0.90819
6	4	10	2	1	True	0.91744
7	4	10	2	1	True	0.95169
8	4	10	2	1	True	0.94482
9	4	10	2	1	True	0.95412
10	4	10	2	1	True	0.92659
20	4	10	2	1	True	0.94958
30	4	10	2	1	True	0.94709
40	4	10	2	1	True	0.94715
50	4	10	2	1	True	0.95629
100	4	10	2	1	True	0.95867
1	4	10	3	1	True	0.85983
2	4	10	3	1	True	0.8621
3	4	10	3	1	True	0.89894
4	4	10	3	1	True	0.91068
5	4	10	3	1	True	0.93562
6	4	10	3	1	True	0.93356
7	4	10	3	1	True	0.92886
8	4	10	3	1	True	0.92875
9	4	10	3	1	True	0.93362
10	4	10	3	1	True	0.93335
20	4	10	3	1	True	0.96089
30	4	10	3	1	True	0.96327
40	4	10	3	1	True	0.97024
50	4	10	3	1	True	0.96327
100	4	10	3	1	True	0.95407
1	4	10	4	1	True	0.81205
2	4	10	4	1	True	0.83716
3	4	10	4	1	True	0.92437
4	4	10	4	1	True	0.90349
5	4	10	4	1	True	0.92912
6	4	10	4	1	True	0.91036
7	4	10	4	1	True	0.93584
8	4	10	4	1	True	0.92659
9	4	10	4	1	True	0.92659
10	4	10	4	1	True	0.93584
20	4	10	4	1	True	0.96327
30	4	10	4	1	True	0.9564
40	4	10	4	1	True	0.96099
50	4	10	4	1	True	0.96099
100	4	10	4	1	True	0.95862
1	4	10	2	2	True	0.82822
2	4	10	2	2	True	0.8695
3	4	10	2	2	True	0.88531
4	4	10	2	2	True	0.899
5	4	10	2	2	True	0.92188
6	4	10	2	2	True	0.92659
7	4	10	2	2	True	0.95872
8	4	10	2	2	True	0.93346
9	4	10	2	2	True	0.9518
10	4	10	2	2	True	0.95174
20	4	10	2	2	True	0.9519
30	4	10	2	2	True	0.96554
40	4	10	2	2	True	0.95634
50	4	10	2	2	True	0.9611
100	4	10	2	2	True	0.95877
1	4	10	3	2	True	0.8556
2	4	10	3	2	True	0.88732
3	4	10	3	2	True	0.90835
4	4	10	3	2	True	0.91047
5	4	10	3	2	True	0.93367
6	4	10	3	2	True	0.91971
7	4	10	3	2	True	0.92648
8	4	10	3	2	True	0.9473
9	4	10	3	2	True	0.93103
10	4	10	3	2	True	0.93811
20	4	10	3	2	True	0.94482
30	4	10	3	2	True	0.94952
40	4	10	3	2	True	0.94947
50	4	10	3	2	True	0.94715
100	4	10	3	2	True	0.95174
1	4	10	4	2	True	0.83943
2	4	10	4	2	True	0.84847
3	4	10	4	2	True	0.91749
4	4	10	4	2	True	0.92648
5	4	10	4	2	True	0.91057
6	4	10	4	2	True	0.93562
7	4	10	4	2	True	0.94054
8	4	10	4	2	True	0.94255
9	4	10	4	2	True	0.93108
10	4	10	4	2	True	0.95169
20	4	10	4	2	True	0.93097
30	4	10	4	2	True	0.95407
40	4	10	4	2	True	0.95407
50	4	10	4	2	True	0.95862
100	4	10	4	2	True	0.95407
1	4	10	2	3	True	0.85106
2	4	10	2	3	True	0.86945
3	4	10	2	3	True	0.88293
4	4	10	2	3	True	0.90814
5	4	10	2	3	True	0.92437
6	4	10	2	3	True	0.93805
7	4	10	2	3	True	0.91982
8	4	10	2	3	True	0.92437
9	4	10	2	3	True	0.94493
10	4	10	2	3	True	0.95174
20	4	10	2	3	True	0.95402
30	4	10	2	3	True	0.94017
40	4	10	2	3	True	0.95407
50	4	10	2	3	True	0.95867
100	4	10	2	3	True	0.96099
1	4	10	3	3	True	0.84836
2	4	10	3	3	True	0.88758
3	4	10	3	3	True	0.89678
4	4	10	3	3	True	0.90587
5	4	10	3	3	True	0.92891
6	4	10	3	3	True	0.93335
7	4	10	3	3	True	0.93811
8	4	10	3	3	True	0.94487
9	4	10	3	3	True	0.93827
10	4	10	3	3	True	0.93805
20	4	10	3	3	True	0.94952
30	4	10	3	3	True	0.96084
40	4	10	3	3	True	0.9518
50	4	10	3	3	True	0.96099
100	4	10	3	3	True	0.96327
1	4	10	4	3	True	0.83927
2	4	10	4	3	True	0.88055
3	4	10	4	3	True	0.89471
4	4	10	4	3	True	0.91744
5	4	10	4	3	True	0.91047
6	4	10	4	3	True	0.92442
7	4	10	4	3	True	0.93568
8	4	10	4	3	True	0.93346
9	4	10	4	3	True	0.9426
10	4	10	4	3	True	0.93097
20	4	10	4	3	True	0.9426
30	4	10	4	3	True	0.95645
40	4	10	4	3	True	0.9564
50	4	10	4	3	True	0.95862
100	4	10	4	3	True	0.96094
1	4	10	2	4	True	0.83245
2	4	10	2	4	True	0.87622
3	4	10	2	4	True	0.91284
4	4	10	2	4	True	0.89699
5	4	10	2	4	True	0.91744
6	4	10	2	4	True	0.899
7	4	10	2	4	True	0.95185
8	4	10	2	4	True	0.92896
9	4	10	2	4	True	0.9334
