GAME_ID	MATCHUP	OUTCOME	TEAM_ID_home	TEAM_ABBREVIATION_home	FG_PCT_home	FG3_PCT_home	FT_PCT_home	REB_home	OREB_home	DREB_home	AST_home	STL_home	BLK_home	OFF_RATING_home	DEF_RATING_home	TS_PCT_home	TOV_home	ELO_home	TEAM_ID_away	TEAM_ABBREVIATION_away	FG_PCT_away	FG3_PCT_away	FT_PCT_away	REB_away	OREB_away	DREB_away	AST_away	STL_away	BLK_away	OFF_RATING_away	DEF_RATING_away	TS_PCT_away	TOV_away	ELO_away
22200122	PHI vs. NYK	0	1610612755	PHI	0.378	0.277	0.81	44	13	31	27	12	8	101.0	101.0	0.485	15	1519.0	1610612752	NYK	0.463	0.273	0.852	50	10	40	24	5	8	101.0	101.0	0.577	21	1430.0
22201034	POR vs. NYK	0	1610612757	POR	0.384	0.378	0.778	38	11	27	22	8	3	107.0	120.6	0.5	10	1331.0	1610612752	NYK	0.519	0.429	0.706	52	9	43	23	8	8	120.6	107.0	0.641	12	1540.0
22200190	DAL vs. POR	1	1610612742	DAL	0.506	0.326	0.808	40	7	33	26	8	2	123.2	117.9	0.633	11	1523.0	1610612757	POR	0.45	0.419	0.771	44	12	32	20	6	2	117.9	123.2	0.587	12	1345.0
22200685	CLE vs. GSW	0	1610612739	CLE	0.5	0.424	0.842	35	10	25	24	7	8	117.5	123.7	0.617	15	1519.0	1610612744	GSW	0.488	0.535	0.684	45	14	31	25	9	4	123.7	117.5	0.636	17	1462.0
22200599	MIA vs. BKN	0	1610612748	MIA	0.413	0.371	0.706	41	16	25	22	8	4	109.8	110.9	0.508	11	1487.0	1610612751	BKN	0.513	0.364	0.8	40	6	34	22	8	8	110.9	109.8	0.617	16	1572.0
22200221	POR vs. BKN	0	1610612757	POR	0.387	0.361	0.815	39	8	31	22	9	5	107.0	109.0	0.51	9	1351.0	1610612751	BKN	0.506	0.379	0.783	47	5	42	32	4	5	109.0	107.0	0.612	17	1435.0
22201187	GSW vs. OKC	1	1610612744	GSW	0.495	0.426	0.733	54	19	35	25	6	6	132.0	123.8	0.628	13	1492.0	1610612760	OKC	0.473	0.344	0.743	38	13	25	23	4	1	123.8	132.0	0.577	10	1420.0
22200970	LAC vs. MEM	1	1610612746	LAC	0.529	0.414	0.943	53	13	40	25	6	2	131.1	127.7	0.672	17	1441.0	1610612763	MEM	0.543	0.529	0.733	26	2	24	32	13	3	127.7	131.1	0.654	8	1548.0
22200480	PHI vs. LAC	1	1610612755	PHI	0.534	0.414	0.929	39	6	33	31	7	3	126.6	121.3	0.632	9	1541.0	1610612746	LAC	0.506	0.368	0.783	33	6	27	25	5	9	121.3	126.6	0.626	11	1442.0
22200012	UTA vs. DEN	1	1610612762	UTA	0.506	0.421	0.742	43	11	32	27	10	1	119.4	100.0	0.636	19	1511.0	1610612743	DEN	0.482	0.227	0.944	35	10	25	21	10	3	100.0	119.4	0.561	21	1488.0
22200278	HOU vs. ATL	1	1610612745	HOU	0.471	0.343	0.829	59	22	37	25	9	4	123.1	115.1	0.609	21	1231.0	1610612737	ATL	0.476	0.385	0.806	28	6	22	14	9	6	115.1	123.1	0.623	13	1503.0
22201185	NOP vs. SAC	0	1610612740	NOP	0.44	0.35	0.815	37	9	28	20	6	4	105.1	124.7	0.537	13	1481.0	1610612758	SAC	0.505	0.405	0.8	43	11	32	35	8	4	124.7	105.1	0.62	11	1505.0
22200461	DET vs. UTA	0	1610612765	DET	0.506	0.36	0.741	43	9	34	22	6	1	116.8	131.3	0.598	14	1274.0	1610612762	UTA	0.505	0.435	0.632	43	12	31	27	7	5	131.3	116.8	0.622	12	1460.0
22200684	ATL vs. NYK	1	1610612737	ATL	0.56	0.382	0.875	39	14	25	27	6	4	147.9	130.5	0.649	7	1451.0	1610612752	NYK	0.59	0.433	0.765	34	9	25	27	5	3	130.5	147.9	0.685	12	1492.0
22200406	SAS vs. CLE	1	1610612759	SAS	0.474	0.333	0.688	46	19	27	25	6	2	115.5	113.3	0.538	12	1286.0	1610612739	CLE	0.489	0.217	0.941	44	15	29	21	7	7	113.3	115.5	0.558	15	1499.0
22200205	GSW vs. SAS	1	1610612744	GSW	0.534	0.511	0.938	40	5	35	35	9	3	130.7	94.1	0.694	12	1465.0	1610612759	SAS	0.36	0.25	0.684	53	22	31	18	6	6	94.1	130.7	0.438	18	1399.0
22200441	HOU vs. POR	0	1610612745	HOU	0.4	0.103	0.69	51	18	33	19	7	6	99.0	113.8	0.462	15	1294.0	1610612757	POR	0.471	0.361	0.737	36	10	26	20	8	4	113.8	99.0	0.573	12	1375.0
22200769	DET vs. WAS	0	1610612765	DET	0.512	0.433	0.818	30	10	20	29	6	3	127.2	128.0	0.624	11	1206.0	1610612764	WAS	0.58	0.48	0.765	37	9	28	27	9	5	128.0	127.2	0.672	14	1434.0
22200657	MIL vs. IND	1	1610612749	MIL	0.527	0.5	0.867	41	9	32	32	9	1	130.7	116.7	0.676	13	1470.0	1610612754	IND	0.512	0.475	0.933	37	4	33	29	6	5	116.7	130.7	0.657	15	1399.0
22200869	MIL vs. BOS	1	1610612749	MIL	0.478	0.429	0.771	52	10	42	29	6	3	114.9	109.6	0.621	18	1576.0	1610612738	BOS	0.465	0.34	0.8	44	8	36	28	8	1	109.6	114.9	0.58	13	1619.0
22200548	MIL vs. WAS	0	1610612749	MIL	0.354	0.265	0.933	44	14	30	22	11	3	92.2	114.6	0.463	16	1521.0	1610612764	WAS	0.532	0.259	0.688	54	12	42	29	9	6	114.6	92.2	0.584	17	1407.0
22201072	PHI vs. CHI	0	1610612755	PHI	0.422	0.278	0.864	54	9	45	28	8	8	96.3	99.1	0.527	19	1638.0	1610612741	CHI	0.415	0.212	0.828	42	4	38	20	12	7	99.1	96.3	0.51	10	1461.0
22201077	ORL vs. WAS	1	1610612753	ORL	0.537	0.444	0.96	42	7	35	27	7	5	120.8	109.8	0.67	15	1357.0	1610612764	WAS	0.506	0.313	0.783	33	4	29	30	7	4	109.8	120.8	0.601	14	1395.0
22200534	NOP vs. PHI	1	1610612740	NOP	0.537	0.484	0.722	36	7	29	19	14	3	129.6	119.6	0.663	12	1537.0	1610612755	PHI	0.56	0.412	0.818	29	3	26	28	5	7	119.6	129.6	0.685	18	1545.0
22200471	NYK vs. TOR	0	1610612752	NYK	0.553	0.423	0.611	38	9	29	25	2	3	119.1	125.6	0.632	16	1531.0	1610612761	TOR	0.447	0.265	0.909	38	16	22	17	7	4	125.6	119.1	0.545	4	1420.0
22200191	NOP vs. HOU	1	1610612740	NOP	0.488	0.276	0.871	36	12	24	28	13	1	117.8	105.0	0.597	12	1474.0	1610612745	HOU	0.506	0.333	0.778	43	10	33	24	7	4	105.0	117.8	0.61	26	1241.0
22201076	UTA vs. SAC	1	1610612762	UTA	0.523	0.444	0.87	48	6	42	33	3	8	124.3	114.3	0.652	12	1397.0	1610612758	SAC	0.423	0.365	0.76	43	8	35	28	5	3	114.3	124.3	0.556	6	1529.0
22200282	SAS vs. LAL	0	1610612759	SAS	0.38	0.182	0.75	50	20	30	21	11	3	92.2	102.9	0.439	16	1317.0	1610612747	LAL	0.482	0.296	0.85	49	10	39	28	12	5	102.9	92.2	0.572	21	1346.0
22200931	GSW vs. POR	1	1610612744	GSW	0.538	0.4	0.813	46	12	34	34	5	2	125.5	106.1	0.627	18	1470.0	1610612757	POR	0.43	0.308	0.864	33	9	24	26	8	4	106.1	125.5	0.549	13	1361.0
22200904	CHA vs. MIA	1	1610612766	CHA	0.432	0.323	0.815	48	11	37	20	10	2	103.8	99.0	0.541	15	1317.0	1610612748	MIA	0.4	0.306	0.824	42	7	35	24	7	3	99.0	103.8	0.542	16	1479.0
