GAME_ID	MATCHUP	OUTCOME	TEAM_ID_home	TEAM_ABBREVIATION_home	FG_PCT_home	FG3_PCT_home	FT_PCT_home	REB_home	OREB_home	DREB_home	AST_home	STL_home	BLK_home	OFF_RATING_home	DEF_RATING_home	TS_PCT_home	TOV_home	ELO_home	SENTIMENT_home	TEAM_ID_away	TEAM_ABBREVIATION_away	FG_PCT_away	FG3_PCT_away	FT_PCT_away	REB_away	OREB_away	DREB_away	AST_away	STL_away	BLK_away	OFF_RATING_away	DEF_RATING_away	TS_PCT_away	TOV_away	ELO_away	SENTIMENT_away
22300848	LAC vs. LAL	0	1610612746	LAC	0.5355029585798817	0.35449735449735453	0.6251874062968515	0.22448979591836726	0.36	0.26315789473684215	0.5172413793103449	0.5625	0.0625	0.5328571428571429	0.5025706940874035	0.4811083123425691	0.34782608695652173	0.7083993660855785	0.408076231092157	1610612747	LAL	0.7751677852348995	0.5109780439121756	0.8	0.33333333333333326	0.2857142857142857	0.37142857142857144	0.5925925925925926	0.3125	0.3333333333333333	0.5025706940874035	0.5328571428571429	0.6988950276243093	0.6	0.5109717868338559	0.0
22300995	MIN vs. DEN	0	1610612750	MIN	0.4497041420118343	0.48324514991181666	0.5442278860569713	0.2448979591836734	0.32	0.3157894736842105	0.3793103448275862	0.5625	0.4375	0.5328571428571429	0.5205655526992288	0.4508816120906799	0.13043478260869568	0.7939778129952455	0.4090208882913464	1610612743	DEN	0.6812080536912752	0.7704590818363274	0.773	0.6111111111111109	0.4285714285714285	0.5714285714285714	0.5185185185185185	0.25	0.06666666666666667	0.5205655526992288	0.5328571428571429	0.6767955801104972	0.7000000000000001	0.7507836990595611	0.0
22300928	ORL vs. IND	0	1610612753	ORL	0.14792899408284022	0.3192239858906526	0.6386806596701647	0.4285714285714285	0.52	0.42105263157894735	0.13793103448275867	0.375	0.1875	0.30000000000000004	0.4370179948586117	0.22418136020151136	0.34782608695652173	0.5435816164817748	0.4642833344439262	1610612754	IND	0.5738255033557047	0.42914171656686617	0.818	0.5277777777777777	0.14285714285714285	0.6571428571428573	0.2962962962962963	0.25	0.6666666666666666	0.4370179948586117	0.30000000000000004	0.5828729281767955	0.45000000000000007	0.5297805642633229	0.432975113122172
22301112	NYK vs. SAC	1	1610612752	NYK	0.6656804733727811	0.6349206349206349	0.5352323838080958	0.2857142857142856	0.36	0.3421052631578948	0.689655172413793	0.5	0.125	0.7242857142857144	0.4704370179948587	0.6423173803526449	0.30434782608695654	0.6164817749603804	0.252482174985007	1610612758	SAC	0.5771812080536913	0.590818363273453	0.583	0.2222222222222222	0.3333333333333333	0.22857142857142865	0.5185185185185185	0.3125	0.2	0.4704370179948587	0.7242857142857144	0.5745856353591159	0.65	0.5893416927899686	0.5694309424490951
22300786	DEN vs. SAC	0	1610612743	DEN	0.20118343195266275	0.4885361552028218	0.7961019490254871	0.40816326530612235	0.48	0.42105263157894735	0.4482758620689655	0.3125	0.3125	0.2857142857142858	0.28149100257069404	0.2644836272040302	0.34782608695652173	0.6481774960380349	0.585526754181382	1610612758	SAC	0.4093959731543624	0.279441117764471	0.789	0.5833333333333333	0.38095238095238093	0.5714285714285714	0.33333333333333326	0.375	0.3333333333333333	0.28149100257069404	0.2857142857142858	0.3729281767955801	0.55	0.5470219435736676	0.4361849547511313
22300727	PHI vs. GSW	0	1610612755	PHI	0.2751479289940827	0.3192239858906526	0.9999999999999999	0.30612244897959173	0.44	0.3157894736842105	0.24137931034482762	0.375	0.5	0.34285714285714297	0.5809768637532133	0.269521410579345	0.4347826086956522	0.5340729001584787	0.463570333844206	1610612744	GSW	0.6174496644295302	0.5748502994011975	0.773	0.6944444444444444	0.47619047619047616	0.6285714285714286	0.6666666666666667	0.375	0.5333333333333333	0.5809768637532133	0.34285714285714297	0.6160220994475136	0.45000000000000007	0.5156739811912225	0.0
22301095	WAS vs. MIL	1	1610612764	WAS	0.5325443786982248	0.2962962962962963	0.7361319340329834	0.3877551020408162	0.2	0.5789473684210525	0.4137931034482759	0.5	0.125	0.49142857142857155	0.40616966580976865	0.4785894206549116	0.2608695652173913	0.05546751188589538	0.408076231092157	1610612749	MIL	0.40604026845637575	0.19161676646706582	0.667	0.8333333333333333	0.7619047619047619	0.6000000000000001	0.7037037037037037	0.4375	0.4	0.40616966580976865	0.49142857142857155	0.33149171270718236	0.45000000000000007	0.6755485893416928	0.6965343078337106
22300707	CHA vs. IND	0	1610612766	CHA	0.21597633136094674	0.3650793650793651	0.7601199400299848	0.36734693877551017	0.44	0.39473684210526316	0.13793103448275867	0.3125	0.3125	0.34285714285714297	0.4897172236503855	0.2720403022670025	0.2608695652173913	0.036450079239302546	0.8809222362897314	1610612754	IND	0.5805369127516777	0.3992015968063872	0.778	0.6111111111111109	0.4285714285714285	0.5714285714285714	0.8148148148148147	0.25	0.26666666666666666	0.4897172236503855	0.34285714285714297	0.5138121546961325	0.4	0.5391849529780566	0.0
22300851	BKN vs. ATL	1	1610612751	BKN	0.5502958579881657	0.7213403880070547	0.6536731634182907	0.36734693877551017	0.32	0.4736842105263158	0.5517241379310346	0.3125	0.25	0.8042857142857145	0.33676092544987135	0.6448362720403024	0.21739130434782605	0.35816164817749585	0.408076231092157	1610612737	ATL	0.3825503355704698	0.3053892215568861	0.714	0.33333333333333326	0.2857142857142857	0.37142857142857144	0.2222222222222222	0.125	0.5333333333333333	0.33676092544987135	0.8042857142857145	0.33149171270718236	0.4	0.40282131661442033	0.432975113122172
22301092	NOP vs. PHX	0	1610612740	NOP	0.4349112426035503	0.5961199294532628	0.5007496251874063	0.2448979591836734	0.48	0.21052631578947367	0.5172413793103449	0.5625	0.0625	0.5871428571428572	0.6915167095115682	0.4156171284634761	0.21739130434782605	0.7068145800316958	0.408076231092157	1610612756	PHX	0.5973154362416107	0.499001996007984	0.8	0.6111111111111109	0.6666666666666666	0.4285714285714286	0.6296296296296295	0.375	0.4	0.6915167095115682	0.5871428571428572	0.6740331491712708	0.45000000000000007	0.6504702194357366	0.4523708521870287
