TEAM_ABBREVIATION	COMMENT
ORL	the #magic bounced back with a win!!! banchero beat victor in the battle of the 1st pick!!! banchero also puts up better numbers than his rival 🙂
	Orlando Magic Vs San Antonio Spurs
	Anjo Nathaniel Comaling
ORL	1st pick for a reason
	Karn Vinyu 
	Karn Vinyu
SPAM	Karn Vinyu Please Join our orlando magic 🏀 new group, post &amp; share your opinion 👇
	All-star
SPAM	Tagne Franck Emmanuel Please Join our orlando magic 🏀 new group, post &amp; share your opinion 👇
	Le magicien banchero
	Clotaire Gnohohi 
SPAM	Clotaire Gnohohi Please Join our orlando magic 🏀 new group, post &amp; share your opinion 👇
	Lorraine Hornsby 😄
	Andrew Hornsby
SPAM	Andrew Hornsby Please Join our orlando magic 🏀 new group, post &amp; share your opinion 👇
	TOPPER
	Elilita Jo tsara le ezaka fa tohizo
SPAM	https://ffm.to/3jmkgz8
	Paolo Banchero
	Paolo Banchero
ORL	All-⭐️
SPAM	How I Got My Ex Husband Back.........
SPAM	As a millionaire who is living his best life.
