TEAM_ABBREVIATION	COMMENT
	Lebron never did this kind of stats in his entire career.. this man absolutely better than bron, this is just my opinion. No hate ❤️
	Jonel Campuso Invalidated opinion. Check Lebron's stats again.
POR	Hell yeah Dominayton! Already in playoff form for 2027 🔥🔥🔥
POR	I suppose someone had to win…
POR	De'Andre Ayton double-double helps the Blazers to come out on top
POR	Best game he had in 4 years
POR	Even a G league could beat Wizards now
	What if LAKERS get ayton?
WAS	Wizards wins this one
POR	Yo we got more than 20 wins 😊🥹
	I thought Greg oden made a comeback
POR	Congratulations Blazers 🏀🏆
POR	Deandre ‘too little too late’ Ayton
POR	d.ayton...leave the blazer and sign the clippers
POR	Battle of the nothings.
	Portland Trail Blazers Vs Washington Wizards
	NBA Lakers are supposed to be 45-33. I don't know why in NBA standings Lakers are  still 44-33.
POR	Dude say F it I'm good to ride the bench now for the next 5 games
POR	Change coach next season
POR	Much needed win....
POR	Ok WOW
POR	Battle of the 14th spot
	🤣🤣🤣 nag wigg ka pa para hindi Namin makilala 😆😆😆
	統治頓？
POR	Deandre Ayton
SPAM	Yo fam… Actually I was scrolling through  my I think I might have a proposal for you… HMU Let’s 💸
SPAM	"Imma do this once sending 5 grand to the first 6 people to hmu with ""GOD IS GOOD"" cus i feel some people going through difficulties, Y'all stay Blessed"
SPAM	"Starting on April 8, darkness and evil will increase. Do not look at the eclipse or go outside. The eclipse will pass through a place called Jonah, by 7 whose name is Nineveh and another called Rapture apart from a ""comet"" that has been called the devi… Wyświetl więcej"
POR	Bottom feeder teams. 😀
WAS	😂
	This woman has done a lot for me and my entire family I am so grateful to have her in my life 
POR	DominAYTON!
WAS	Two garbage teams
POR	He’s ballin
SPAM	I’m Giving out “5” grand to the first “6” people to message me with “FAITH” cus I feel some people going through difficulties this year, y’all stay blessed.
