TEAM_ABBREVIATION	COMMENT
	LeBron James is the Greatest of all time next to MJ, Steph, Kobe, and Duncan..
CLE	Cavaliers vs Magics. 5-1 coming
	"Yo champ..hit me up rq with "" God Did "" I got 5 bands for y'all 🥂❤️"
CHA	Send the Hornets to Vegas
CHA	Thanks Hornets
CLE	How
	Charlotte Hornets Vs Cleveland Cavaliers
	This doesn't change the fact that Lakers will be the 2024 NBA champions LeBron MVP
CHA	Number that stands out the most is 61
CHA	This guy looks like Robert Horry
	Que mierda eres NBA, decir que fue un error agregando un minuto para que su rey gane el play in, puras mamadas con ustedes
	Huli na ang lahat😁
	🐗
SPAM	"Yo champ..hit me up rq with "" God Did "" I got 5 bands for y'all 🥂❤️"
SPAM	IM FUNDING 6 GRANDS to the  First 7 People To
SPAM	Things are kinda tough atm especially this time of the year so l’m going gifting 5 grands to the first 7 people to message me with “GRACE” let’s spread love and end inhumanity.
SPAM	"THIS IS MY WAY OF HELPING  OUT THOSE FACING CHALLENGES THIS MONTH, I'II SUPPORT SEVEN INDIVIDUALS WITH 5 GRAND WHO WRITES TO ME USING THE PHRASE ""STRUGGLING”"
SPAM	I’m doing this just once, so I’m giving out 5 grand to the first 5 people to message me with ' ALIVE '. Cause It's all about sharing the blessings and love.
CHA	Nick Smith Jr.
SPAM	Things are tough especially this time of the year so l'm gifting 5 grands to the first 10 people to message me with
SPAM	Things are kinda tough atm especially this time of the year so l’m going gifting 5 grands to the first 7 people to message me with “GRACE” let’s spread love and end inhumanity.
