TEAM_ID	COMMENT
	Congrats team pacers .. always success for you all tram pacers in the NBA, always happy and god bless you .. enjoy your day
	I hope to see this guy in spurs uniform
	Thank you Indiana from Lakers fan 👍
	 umiiwas na okc Panay talo
	 this doesn't help the lakers in any way okc is like 10 games better than the lakers
	Seems  like leading  teams  are losing  purposely
	Oklahoma City Thunder Vs Indiana Pacers
	Los pacers victoria numero 15 tiene 15-15 pero mira cuál es su promedio por partido 120.4 en triples 37.9 por partido osea jugan 500 no tan bien pero la ofensiva contra equipo del conferencia diferente está encedia a demás ellos son líderes hace un buen rato por puntos por partido con 122.8 en toda NBA pero su mala defensa eh lo que no lo tiene mal alto este equipo está entre lo 7 peores en eficiencia defensiva ahora hablado de  efeciencia ofesiva nada de problema son segundo 2 por debajo de ya usted saben los Celtics y en ese momento :0:03 ese tiro flotante de suspención de triple por la parte derecha Tyrese haliburton estuvo impresionante ese muchacho está haciendo cosa de otro planetaa y en el minuto 4:32 metio un triple por la parte derecha de la cancha para poner el partido por 5 puntos de ventaja haliburton que tuvo eso 2 triples en ese tercer cuarto
	Nuggets Nation thanks you Pacers! Gives us some breathing room
	Pascal Siakam helps Indiana Pacers win
	I hope he can go to Los Angeles.
	Pascal Siakam
	Yo fam… Actually I was scrolling through  my I think I might have a proposal for you… HMU Let’s 💸
	Who’s The Real MVP?
	I’m finding 3GRAND to first 4 🇺🇸 citizens to hit me up with “GOD DID” stay bless🕊
	This woman has done a lot for me and my entire family I am so grateful to have her in my life 
	‼️NEW PODCAST ALERT‼️
	Spicy P 🔥
