TEAM_ABBREVIATION	COMMENT
	San Antonio Spurs Vs Brooklyn Nets
	Anjo Nathaniel Comaling are you sure ?
	Anjo Nathaniel Comaling
SAS	Spurs and the so called greatest prospect of all time may play in china this season to avoid the greatest spurs lossing record of all time.
BKN	Go Nets 🖤🤍
SAS	Wemby should average at least 15 rebounds da way y'all hyped him up 😂
	Miracles still happen just keep on praying
BKN	He's an all star
	🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊
SAS	Get Wemby help 😂
BKN	Cam Thomas
	🐊
	Nyeta 21plus taya ko d2 X14 sana
SPAM	"𝚂𝙰 𝙼𝙶𝙰 𝙶𝚄𝚂𝚃𝙾𝙽𝙶 𝙿𝚄𝙼𝚄𝚂𝚃𝙰 𝚂𝙰 𝙶𝚄𝚂𝚃𝙾 𝙽𝚈𝙾𝙽𝙶 𝚃𝙴𝙰𝙼 𝙿𝙼 𝙻𝙰𝙽𝙶 𝙿𝙾 𝙾𝚁 𝙲𝙾𝙼𝙼𝙴𝙽𝚃 ""𝙷𝙾𝚆"" 𝙿𝙰𝚁𝙰 𝙼𝙰 𝙰𝚂𝚂𝙸𝚂𝚃 𝙺𝙸𝚃𝙰 𝙵𝙾𝚁 𝙾𝙽𝙻𝙸𝙽𝙴 𝙱𝙴𝚃𝚃𝙸𝙽𝙶◾ 𝙵𝚁𝙴𝙴 𝚁𝙴𝙶𝙸𝚂𝚃𝚁𝙰𝚃𝙸𝙾𝙽 &amp; 𝙽𝙾 𝙲𝙰𝚂𝙷-𝙾𝚄𝚃 𝙵𝙴𝙴 𝙿𝙰𝚁𝙰 𝚂𝙰 𝙻𝙰𝙷𝙰𝚃 "
SPAM	*️⃣𝙽𝙱𝙰.                      *️⃣𝙱𝚕𝚊𝚌𝚔𝚓… Wyświetl więcej
SPAM	Having someone like you was not   just a great motivation but also put in the best to get the work so honestly deserve nothing but appreciate thanks for the work well done Jeffrey Anderson
SAS	10-43 😭😭 Daam
SAS	wemby need parker and ginobili
SAS	Wemby need help. Trade needed by spurs
