TEAM_ABBREVIATION	COMMENT
GSW	3 in a row boys 🟡🔵🟡🔵🙌🙌🏀🏀
	Jacob DelaGarza rockets 11 in a row still at no.11
GSW	Next game against spurs another must win game, time to get prepared
GSW	Great job Wiggins and the Warriors!! On to the next game Sunday!🏀🏀🏀🏀🏀
	ROCKETS WILL WIN THE NBA FINALS 2024 🔥🔥🔥
GSW	Just good to see Wiggins out there and contributing 👌🏼
	A sunny day in Taipei
GSW	Remember when trusted basketball sources said wigs had played his last game with GS the last time he took a personal hiatus
GSW	Wish he could get his mind right. One of the most talented dudes in the league
GSW	Nice warriors got to win 👍
GSW	Yes definitely an awesome player for the team 🙏❤️
GSW	Lakers lose.. warriors win... What a great day indeed😆
	Lakers have a strong chance at the championship this year.
GSW	GSW giving hopes to Rockets
CHA	Robin in green jersey at the back
GSW	crazy how the warriors destroyed the hornets in the paint all game (64-38) yet they were only rewarded 9 freethrows while the hornets got 24 lmao
GSW	Im a warriors fan but cmon, charlotte aint even a playoff team. Still got to come up with a gane plan that will beat teams in the playoffs..
GSW	Wiggins has taken over these last games.
GSW	Warriors finished 9 and rockets at 10 seed
GSW	Wiggins Is back 🔥🔥
GSW	GSW win
	Getting his form back 
GSW	Congratulations Andrew and the Warriors 👏👏👏🔥
GSW	Played like his wife wasn’t on the track tonight
GSW	Good job Wiggins 👍
	Well done lads
GSW	Back to back MVP nights for the main man!
	Who will be MVP 2024 ?
GSW	How many games are left for the warriors?
	Rodel Dagsangan 9 games left..
	And Lebron walk out again 🤣😂🤣😂
	Is that Batman?
GSW	3 in a row Warriors
GSW	Go warriors......................⛹️⛹️⛹️
GSW	Congrats Mr. Mvp .👍👍
GSW	Comeback wiggins🫡👏🏻🔥
GSW	Warriors Win ❤️🥰
	Lakers got problems now
GSW	Wiggins is Back
GSW	🤣🤣🤣🤣
GSW	Love those Warriors!! 🏀🏀
CHA	what is batman doing in there
GSW	No time for loss..rockets waiving into 10th seeds
GSW	Great to see Air Canada Andrew Wiggins getting Back to the Physicality and Accuracy That he is capable of - we Need Wiggins Looney Gary Payton II to Dominate Defensively to Force the Fast Break Modes That Make the Warriors one of the Top Contenders even at 10 th Seed -
GSW	But curry scored 3 more points why isn't he pictured! 🤌🤣
GSW	Congratulations 🎊 warrior  go for the cham
GSW	Lets accept the Fact  that The GSW will just win if their Opponents are
GSW	Congratulations❤️ fans foreverGSW❤️
CHA	But how did Batman's ginger cousin play?
GSW	very good
	here come the rockets😂
GSW	Lakers lost, Warriors win, today is a good day indeed. 😇
	😂
	Rafael Rjl De Leon
GSW	Excited for our next game against Spurs, let's win!
GSW	HAPPY SATURDAY AFTERNOON DUB NATION 😘😘
GSW	That's why he's the missing link for them to win.
GSW	Bro I forgot he was still in the league
GSW	Way to go Andrew !!!  Andrew on fire 🔥 😍
GSW	Congratulations Warriors.
GSW	Finally, he needs to contribute if the dubs have any chance
GSW	Great job W.🔥
GSW	Wiggins!!!!!😘😘😘
GSW	Andrew Wiggins come out on top
GSW	CONGRATS WARRIORS 🎉🎉🎉🎉
GSW	Gorgeous gorgeous gorgeous ❤️❤️
	As long as the lakers doing better i quite frankly don’t giv af 🤣🤣🤣👀🤷🏾‍♂️
GSW	Comes through !!
	I don't know Ragnar Lodbrok playing basketball
	Golden State Warriors Vs Charlotte Hornets
GSW	dubs lets go for 4th winning streak🥹🫣
	Things are kind tough atm especially this time of the year so I’m gifting 7 grands to the first 10 people to message me with “TOUGH” let’s spread love and end inhumanity.❤️
GSW	3 Road Trip Wins In A Row For The Warriors 💛💙
	Will Wemby be first in the league?
	Sacramento what's the score line guys ?
GSW	Wiggins ⛹🏻‍♂️💨You showed Out Tonight 💕Saw you Live💕
GSW	Run run as fast as you can, you can't escape me I'm the ginger Batman
CHA	Why is William Wallace in the picture?
	Buhat na buhat si boy baldog
CHA	What is a the masks they don't do anything. Lol
GSW	💪💪💪
GSW	💯💪🏾🔥
GSW	🔥🔥🔥🔥🔥🔥🤫🤫
	Alnasri Cuevas
GSW	💛💙🍀🌊🌊🌊🌊🌊🌊🌊🌊🌊7️⃣🌠
	❤❤❤
GSW	Warriors win Lakers lose today IS a good day Indeed😊
CHA	Is that a Viking at his back?
GSW	I love Wiggs.
	This game been over 2+ hours. What yall be doing?
	😅
GSW	Good game!
	It's alive.
CHA	Hornets are 18-55. Relax
GSW	MJ of team GS.
GSW	Gooo GSW
GSW	Finally
	Nive Game Lakers
GSW	Fmvp
GSW	The Golden State warriors will win the 2024 NBA finals 🏆🏆🏆🏆🏆
GSW	🔥🔥🔥🔥🔥🔥🔥
GSW	Andrew Wiggins
