TEAM_ABBREVIATION	COMMENT
	Philadelphia 76ers Vs Cleveland Cavaliers
	Will Wemby be first in the league?
CLE	❤️❤️❤️❤️❤️
CLE	⭐⭐⭐
CLE	💪🏾🔥🏀
	😂tsis ambara
	😂
CLE	Nice Cavs Nation
PHI	Sixers really having a hard time without embiid
CLE	LFG Cavs !!!
	Dad bod Niang went off
CLE	What A Good Win For The Cavaliers
PHI	😭
	The fact it was on the CW in Ohio and MORE PEOPLE HAD ACCESS TELLS THE LEAGUE THEY NEED TO BREAK UP WITH DIAMOND SPORTS GROUP WHO UNFORTUNATELY STILL MANAGES BALLY SPORTS OHIO
CLE	Georges Niang
	1petipo
CLE	Mbaye Niang.
CLE	🤜 Niang gang 🤛
CLE	Bang bang!
