TEAM_ABBREVIATION	COMMENT
	A PREVIEW OF THE 2200 ECF 👀👀👀
CHI	This was the most frustrating game
	Jonathan Valero hey baby
CHI	There should be a better name for it when the numbers hit 20. Like maybe a double double double?
CHI	I love it bulls
CHI	Dude is phenomenal give him more time you’ll all see. Proud of you my malian brother 🇲🇱❤️
CHI	NCAA Most Outstanding Player 2023
CHI	Monstrous double double 🔥
CHI	Adama Sonogo wanted this win
CHI	Wow
	Tylor Perrine imagine that parlay!!
CHI	Much needed win for the Bulls. MJ would be very happy for bUlls
	This doesn't change the fact that Lakers will be the 2024 NBA champions LeBron MVP
	Black man 
CHI	UConn legend
CHI	Chicago Bulls has zero chances to get a ship this season.
SPAM	I'm gifting 5 grand to the first 5 people to hit me up with
	Jon Bones Jones my man!
	Fierté d'être Malien 🇲🇱🇲🇱🇲🇱🇲🇱🇲🇱🇲🇱
	Chicago Bulls Vs Washington Wizards
CHI	Adama Sanogo
CHI	Luv it 😱🔥
CHI	Who ? 😂😂😂
SPAM	As a millionaire living my best life, I’m 5 grand  to the first 5 people who message me ‘GRACE’. It’s all about sharing the blessings. Stay bless y’all!
SPAM	Hit me up let’s stack up 💪🏽💰💯
	Who?
SPAM	As a millionaire who is living his best life.
	Who
SPAM	𝙃𝙚𝙡𝙡𝙤! 𝙒𝙖𝙨𝙨𝙪𝙥 𝘽𝙪𝙙𝙙𝙮 𝘿𝙢 𝙈𝙚 𝙄 𝙃𝙖𝙫𝙚 𝙖 𝙂𝙧𝙚𝙖𝙩𝘽𝙪𝙨𝙞𝙣𝙚𝙨𝙨 𝙊𝙥𝙥𝙤𝙧𝙩𝙪𝙣𝙞𝙩𝙮 𝙁𝙤𝙧 𝙔𝙤𝙪 𝙄𝙛 𝙔𝙤𝙪 𝘾𝙖𝙣 𝘽𝙚 𝘼𝙢𝙤𝙣𝙜 𝙏𝙝𝙚 𝟮𝟬 𝘽𝙚𝙣𝙚𝙛𝙞𝙘𝙞𝙖𝙧𝙮 𝙋𝙖𝙧𝙩𝙣𝙚𝙧 𝙊𝙛 𝙏𝙝𝙚 𝘾𝙤𝙢𝙥𝙖𝙣𝙮 ($𝟱𝗞) 𝙈𝙞𝙣𝙞𝙢𝙪𝙢 𝙒𝙞𝙩𝙝𝙙𝙧𝙖𝙬𝙖𝙡 𝙉𝙤 𝙎𝙘𝙧𝙚𝙬𝙞𝙣𝙜 𝙊𝙣 𝙏𝙝𝙚 𝙋𝙧𝙤𝙘𝙚𝙨𝙨📥.
SPAM	West Bautista Cabrera alalik mo to. Gonaso hahaha
CHI	22 pts carer haight hahaha
