TEAM_ABBREVIATION	COMMENT
	Friday vs the Pacers will essentially be a playoff game for us. We need to win and need to support our team.
CLE	Got outscored by G league Jake LaRavia lol
CLE	I can’t believe they’re not even gonna get 50 lol I had us getting 55 at one point
	Memphis Grizzlies Vs Cleveland Cavaliers
CLE	Great job!! ❤️MyCavs!
CLE	Donovan Mitchell put in work
CLE	Supernova is back💪
CLE	Bout time we get a win
MEM	💙🖤🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌠
	A very par performance against a subpar team. Good talk
CLE	😴 overrated in my book.
CLE	Donovan Mitchell
CLE	Just getting warm
	Lebron will go back to Cleveland. Because East teams are weaker..
	Grizz lang yan
CLE	He’s back
SPAM	The preaching of the WORD of GOD continue until GOD wants. Starting on April 8, darkness and evil will increase.I hope you haven't looked at the eclipse or gone out. The eclipse pass through a place called Jonah, by 7 whose name is Nineveh and another … Wyświetl więcej
SPAM	The world is rotten and people don't mind, we aren't here to enjoy or have fun, this life is a proof. It's incredible, no matter how difficult the situation gets, almost no one wants to obey GOD - JESUS CHRIST and TRULY do his will (far away from relig… Wyświetl więcej
SPAM	Things are kinda tough out here especially this time of the year so I’m gifting 5 grand to the first 5 people to message me with “TOUGH TIME” let’s spread love and end inhumanity
