TEAM_ABBREVIATION	COMMENT
ORL	Orlando Magic could be the next dynasty team in the NBA.
ORL	6-6 .. perfect from the field 💯
	Brooklyn Nets Vs Orlando Magic
ORL	BOOM💥💥💥
ORL	Back on track!
	At what age will Durant retire?
	😄
ORL	Great win for the Magic! I’m sure they learned a lot from the legendary center Kai Sotto! 😤😤😤 #LetKaiPlay 😡
	Johnny Wang papansin ka talaga
ORL	Paolo Banchero is just getting the heat up
ORL	Play the song
	I'm so excited my broken heart has been restored my man is back after he left me for another woman. i was so happy to meet  magnet how he help many people to bring back their happiness so i contacted him to help me too. that was how he help me to bring back my man.. A big Thanks to you  because I never thought my man will be back to me so quickly. He is such a nice man 
ORL	Getting Suggs back made a big difference
	Skyler Apgar
ORL	Skyler Apgar He's such a key piece.
	𝐃𝐞𝐚𝐫 𝐃𝐨𝐧'𝐭 𝐒𝐤𝐢𝐩👍👍
	As a millionaire living my best life, I'm giving 5 grand to the first 5 people who message me 'GRACE'. It's all about sharing the blessings.
	Paolo Banchero
	The Banch
	First comment😎😎
	As a millionaire living my best life, I’m paying bills for the first 5 people who message me ‘ HARD TIME ’ It’s all about sharing the blessings. Stay bless y’all
