TEAM_ABBREVIATION	COMMENT
ATL	Okay 👍
ATL	Knicks are all injured, but we will take it.  Go Hawks!
ATL	Nice work, Jalen!
ATL	Jalen Johnson for the win
ATL	Nice work Jalen game was so difficult
	Atlanta Hawks Vs New York Knicks
ATL	Jalen Johnson
SPAM	https://youtube.com/shorts/qH9y824Gkr8?si=pXFbqUxSpXCsTSE9
SPAM	"THIS IS MY WAY OF HELPING OUT THOSE FACING CHALLENGES THIS YEAR, I'll SUPPORT SEVEN INDIVIDUALS WITH 6 GRANDS WHO WRITES TO ME USING THE PHRASE ""GOD DID"""
SPAM	Yo what’s up 👋 it’s my pleasure meeting you!! I got a business proposal for you and I will be glad 🙂 if give a shot,listen am working with those upper influencers in USA 🇺🇸 and CANADA 🇨🇦 so if you’re interested inbox me for more info
