TEAM_ABBREVIATION	COMMENT
CHI	Jp youRe great and doing well!! They traded jp because jp is younger than them 😂😂
WAS	Kispert had a good game
	Matthew Yep
WAS	Goat
WAS	I noticed Poole and kispert play well together, they look out for each other and they won the game without Kuz and Avdija I like the players but the chemistry is not completely there yet
WAS	Jordan Poole is my favorite Washington Wizards player If all time
	John John Turner I hope you’re a teenager and have never seen Michael jordan, juwan howard, chris webber, mitch richmond, jerry stackhouse, rip Hamilton, rod Strickland, muggsy bogues, manute bol, or george murresean
WAS	Great player ❤️Love Poole 🙏🏀
	Tomorrow Miami vs warriors
	Do the  NBA ever get an off season?
WAS	Jordan poole was good for warriors but won't exceed to nothing more in his career especially with wizards...harsh truth
	Chris Selmes not really
WAS	Go wizard 💪💪💪
	Longest winning streak in the East lol
WAS	GS does not need a big man.They miss Jordan Poole.
	Whaou qui pouvait imaginer ? Les wizards viennent déjà en force very good
	kung kylan eliminated saka gumanda laro ampp 🤣
	Kar Del .like spurs they beat suns an hour ago
	Indiana beat LAC
	Kar Del antayin mo next season
WAS	You go Poole ❤️❤️🏀
WAS	Jordan Poole stepped up
WAS	Awesome game
	🌠🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🏙
	Jay Portes
WAS	Late game poole
WAS	🔥😹
WAS	🥰🤣
WAS	😂
WAS	🥴
WAS	😪
WAS	I think he's actually becoming better
WAS	Good game JP 🏀👍
WAS	Better than bron
WAS	Jp🥰🔥
WAS	They were just talking about him like a dog last week. One day they hate you the other they praise you. None of it is real
WAS	So he isn't completely out of the league yet
WAS	Golden State get that man back. His whole appearance done changed since being traded
WAS	The worse.team.now beating the good team hajaja love it ball is round
WAS	He's Back!!! 😅
WAS	Jordan poole better than cris paul...
	How many parleys are lost 🤣🤣🤣
WAS	The first name says it all!
	Eliminated.
	Buti ang wizards nanalo sa bulls pano kaya ang warriors
WAS	Tenacity
WAS	At last u win..
	Regie Bañaga 3rd win in a row actually...which is quite the surprise to alot of folks including myself lol
	Washington Wizards Vs Chicago Bulls
WAS	Traded him for 40 yr old cp3 too Mathew Rosas
WAS	Jordan Poole
CHI	Whatttt 😂
	The world is rotten and people don't mind, we aren´t here to enjoy or have fun, this life is a proof. It´s incredible, no matter how difficult the situation gets, almost no one wants to obey GOD - JESUS CHRIST and TRULY do his will (far away from relig… Wyświetl więcej
WAS	good
WAS	Warriors need Jordan Poole back
WAS	It's about time........
SPAM	https://primeoption.naoa.site
	Shaqtin a fool
SPAM	Get your music played in rotation on songcast radio sell your music worldwide on amazon itunes spotify rhapsody Google play and many more online stores start getting paid weekly royalty checks for your music click below http://www.songcastmusic.com/aff… Wyświetl więcej
	Dhenz Espinosa 
	Ronnie suntukan sana sila ni Caruso eh
	Na Javier Rivas kingz tortured 6erz tonight but maxey always having a crazy game
CHI	🤣🤦🏻‍♂️
CHI	Hahaha
SPAM	hello, You have been selected to benefit from my charity project aimed at touching lives and helping people as God has blessed me and I'm giving back to the needed because a giving hand never lack ... Let me know if you are ready to get your winnings and send me a friend request to claim it
SPAM	"Gifting 5 grands to the first five people to hit me up ""GOOD GOD "" Y'all stay blessed"
