TEAM_ABBREVIATION	COMMENT
NOP	CJ McCollum is a great player. He was at his best today against the  Heat.
NOP	Congratulations Pelicans
NOP	👌🏼well done pelicans
NOP	It's always a good day when the Heat and Warriors lose.
NOP	The better team won
MIA	And Butler said we wouldn't beat them the next time either.
NOP	It's play off Time for pelican's
	New Orleans Pelicans Vs Miami Heat
NOP	BOOM💥💥💥
NOP	Go Pelicans
NOP	CJ beat Heat
NOP	Wow
NOP	Good luck
MIA	The Heat sniffed that Miami cocaine before the game. Bricks on Bricks
	Cas Steelo
NOP	CJ McCollum
NOP	Cj is nice like that.
NOP	My Guy C.J
MIA	The Heat as a team seemed to be on drugs !!! Smh
	Los Heats no estuvieron a la altura.
	5 grands for the first 5 people to hit me up with God is Good
	Armani Craig God Is Good!!!
	Shane Freer
	JUST IN: Florio refers to Kirk Cousins and the Falcons as the...
	Rahman Ve Rahim Olan Allah'ın Adıyla: Rabbimiz! Sen, insanları geleceğinde asla şüphe olmayan bir günde kesinlikle bir araya toplayacaksın! Doğrusu Allah, verdiği sözden caymaz.” Ali İmrân Süresi
	Things are kinda tough at especially this time of the year so l’m gifting 5 grands to the first 10 people to message me with “TOUGH” let’s spread love and end inhumanity.❤️🫨
	am going to Positively change the lives of 1st five people to write me with the word “GOD BLESSING” let’s end inhumanity 🇺🇸🇨🇦💯
	"Giftinng 5 grands to the first five people to hit me up ""GOOD GOD "" Y'all stay blessed"
NOP	Congratulations
	THIS IS MY WAY OF HELPING OUT THOSE FACING 
	Things are kinda tough out here especially this time of the year so I’m gifting 5 grand to the first 5 people to message me with “TOUGH TIME” let’s spread love and end inhumanity
	hello mar Mar Klee
NOP	Fuck CJ
