TEAM_ABBREVIATION	COMMENT
IND	Wow nice win, even SGA scoring 30 wasn't enough
IND	Great game
	Martha Parris With a well deserved team for a kind of man,Lamont Paris such an amazing human having discussed a little time with him,his so amazing and so cool 
IND	Myles the man!!
IND	Marlene Cummins 1 good game makes him the man pull your headin
IND	Let’s goooo 💙💛
IND	As a Timberwolves fan, thank you Indy. 🙂
IND	TK Vang You're welcome!
IND	How come you can't rebound lol
IND	Jermaine Witehira plays center but gets 3 rebounds his whole team had more rebounds then he did
IND	Ervin Adriano Hokic agree he's costing my parlay bets lol
	😂
IND	Jermaine Witehira he's getting blocks. He playing good defense. Get off his dick and quit complaining about him all the time. He's a good player and app people do is critique anything about him
	As a Denver fan thank you🤣
IND	He was in POINT tonight
	Lo de Turner y lo tapones no me sorprende para nah overall este muchacho promedia 2.2 de por vida en bloqueó y lo más raro eh que esta teniendo la segunda mejor 17.2 puntos por partido está temporada
	On purpose Afraid of Lakers 😁
OKC	from now we will definitely see how thunder Fall
IND	Good job Fellas!
IND	Massive game
IND	6 straight  wins let's get it
IND	Big game Myles Turner
	🌠🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊
	😂
	Here to defend Lebron !
	🔥🥵
OKC	Giddy got up as many shots as Holmgren; not a recipe for success when Alexander is not shooting well and Williams is not playing.
	John Baxter hello
IND	GG Indiana Pacers
OKC	No JWill Big Problem for OKC.
OKC	I cant believe the thunder lost to these plebs
IND	Alex Cox turnovers and pacers went ballistic in the paint…
IND	Colton Cellars indiana is not a bad team. You guys won't win the finals either. So. Enjoy the good season
OKC	Steven Kuffer we would and will if have to beat you in a 7 game series id bet the mortgage on it
IND	Alex Cox everybody laughing at your comments speak for itself..ha
	⚡️
	Jeriah Cobb
	Jeriah Cobb
	🤡
OKC	Jeriah Cobb enjoy being semi-relevant for a season lol
IND	Gregory Piers That tells me right there your IQ of basketball is less than 0
	🤣
IND	Gregory Piers Again, coming from apacers fan bahaha! don’t make me laugh sir.
	Alex Cox
IND	Indiana isn't that bad and JDub was out tonight.
	Indiana Pacers Vs Oklahoma City Thunder
	Anjo Nathaniel Comaling
IND	Miles Turner, A big man? With no rebounds?
IND	Myles Turner's turn
	"Imma do this once sending 5 grand to the first 6 people to hmu with ""GOD IS GOOD"" cus i feel some people going through difficulties, Y'all stay Blessed"
	Go Nuggs!
	BREAKING NEWS
IND	Myles Turner
	‼️NEW PODCAST ALERT‼️
	😂
IND	Nicholas Sluggett you know I was following these results.... to let you know how the pacers went if they lost.
	"Imma do this once sending 5 grand to the first 6 people to hmu with ""GOD IS GOOD"" cus i feel some people going through difficulties, Y'all stay Blessed"
	Just Now: Elite Georgia 4-Star LB locks in Alabama visit
IND	As a Nuggets fan GO PACERS
OKC	SGA is FakeVP 😆
	This is wonderful, and beyond my expectations. I still can't believe what Happened to me, I'm so happy today because of Mrs Hither Mann
	The illuminati is a secret society that strives to promote spiritual and moral values. It was founded under principles of love, justice, unity, peace, and relief. The illuminati bring together individuals of goodwill, irrespective of their differences … Wyświetl więcej
