TEAM_ABBREVIATION	COMMENT
MIN	Whoever his barber is needs to be fired that’s a terrible cut 🤣🤣
MIN	Don Reo I said, who gave my boy that old man from Arkansas cut?
	NBA- with your agreement to 2k you are allowing them to, 
MIN	This is considered filling the stat sheet for Anthony Edwards, meanwhile this would be a bad game for Luka, yet people have the nerve to compare the two. Luka is so far ahead of this overrated American
MIN	Nice work, ant!!
MIN	Marvel the Antman
MIN	Glad he got back in the game. Heard he went down for a bit, big key to the offensive here in MN.
MIN	Giannis is also Ant-Man
MIN	He is good  hope he's not one of the choker this coming playoffs,
MIN	That's super good ☺️
	San Antonio Spurs Vs Minnesota Timberwolves
SPAM	The illuminati is a secret society that strives to promote spiritual and moral values. It was founded under principles of love, justice, unity, peace, and relief. The illuminati bring together individuals of goodwill, irrespective of their differences and backgrounds, and ensure that these good men become better in the society by riches, fame and powerful in life.
	Everyone who said that melo is better should be ashamed.
MIN	Conley should retire
MIN	This dude
MIN	Good work
SPAM	"Gifting 5 grands to the first five people to hit me up ""GOOD GOD "" Y'all stay blessed"
	Isco 🌟
SPAM	https://sportnewsarena.com/.../nba-news-sources-claim.../
SPAM	I'm legitimately paying
MIN	Anthony Edwards
