Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21900057	2019-10-30	1610612750	L	95	MIN @ PHI	1610612755	W	117	1498.0	1573.0
21900058	2019-10-30	1610612738	W	116	BOS vs. MIL	1610612749	L	105	1567.0	1621.0
21900059	2019-10-30	1610612751	L	108	BKN vs. IND	1610612754	W	118	1505.0	1491.0
21900060	2019-10-30	1610612761	W	125	TOR vs. DET	1610612765	L	113	1613.0	1481.0
21900061	2019-10-30	1610612745	W	159	HOU @ WAS	1610612764	L	158	1640.0	1445.0
21900062	2019-10-30	1610612757	W	102	POR @ OKC	1610612760	L	99	1606.0	1540.0
21900063	2019-10-30	1610612746	L	96	LAC @ UTA	1610612762	W	110	1552.0	1598.0
21900064	2019-10-30	1610612758	L	111	SAC vs. CHA	1610612766	W	118	1424.0	1453.0
21900065	2019-10-30	1610612744	L	110	GSW vs. PHX	1610612756	W	121	1558.0	1377.0
21900066	2019-10-31	1610612737	L	97	ATL vs. MIA	1610612748	W	106	1448.0	1521.0
21900067	2019-10-31	1610612740	W	122	NOP vs. DEN	1610612743	L	107	1386.0	1575.0
21900068	2019-10-31	1610612746	W	103	LAC vs. SAS	1610612759	L	97	1545.0	1564.0
21900069	2019-11-01	1610612745	L	116	HOU @ BKN	1610612751	W	123	1643.0	1490.0
21900070	2019-11-01	1610612739	L	95	CLE @ IND	1610612754	W	102	1359.0	1506.0
21900071	2019-11-01	1610612749	W	123	MIL @ ORL	1610612753	L	91	1612.0	1563.0
21900072	2019-11-01	1610612738	W	104	BOS vs. NYK	1610612752	L	102	1576.0	1315.0
21900073	2019-11-01	1610612741	W	112	CHI vs. DET	1610612765	L	106	1348.0	1477.0
21900074	2019-11-01	1610612742	L	110	DAL vs. LAL	1610612747	W	119	1483.0	1496.0
21900075	2019-11-01	1610612758	W	102	SAC vs. UTA	1610612762	L	101	1413.0	1605.0
21900076	2019-11-01	1610612744	L	110	GSW vs. SAS	1610612759	W	127	1534.0	1558.0
21900077	2019-11-02	1610612740	L	104	NOP @ OKC	1610612760	W	115	1404.0	1534.0
21900078	2019-11-02	1610612751	L	109	BKN @ DET	1610612765	W	113	1500.0	1468.0
21900079	2019-11-02	1610612743	W	91	DEN @ ORL	1610612753	L	87	1557.0	1536.0
21900080	2019-11-02	1610612750	W	131	MIN @ WAS	1610612764	L	109	1490.0	1442.0
21900081	2019-11-02	1610612756	W	114	PHX @ MEM	1610612763	L	105	1401.0	1427.0
21900082	2019-11-02	1610612749	W	115	MIL vs. TOR	1610612761	L	105	1639.0	1617.0
21900083	2019-11-02	1610612744	L	87	GSW vs. CHA	1610612766	W	93	1515.0	1464.0
21900084	2019-11-02	1610612755	W	129	PHI @ POR	1610612757	L	128	1581.0	1612.0
21900085	2019-11-03	1610612741	L	95	CHI @ IND	1610612754	W	108	1357.0	1509.0
21900086	2019-11-03	1610612745	L	100	HOU @ MIA	1610612748	W	129	1633.0	1532.0
21900087	2019-11-03	1610612752	L	92	NYK vs. SAC	1610612758	W	113	1314.0	1418.0
21900088	2019-11-03	1610612747	W	103	LAL @ SAS	1610612759	L	96	1509.0	1577.0
21900089	2019-11-03	1610612739	L	111	CLE vs. DAL	1610612742	W	131	1356.0	1470.0
21900090	2019-11-03	1610612746	W	105	LAC vs. UTA	1610612762	L	94	1551.0	1600.0
21900091	2019-11-04	1610612764	W	115	WAS vs. DET	1610612765	L	99	1421.0	1473.0
21900092	2019-11-04	1610612740	L	125	NOP @ BKN	1610612751	W	135	1400.0	1495.0
21900093	2019-11-04	1610612745	W	107	HOU @ MEM	1610612763	L	100	1612.0	1412.0
21900094	2019-11-04	1610612749	W	134	MIL @ MIN	1610612750	L	106	1645.0	1511.0
21900095	2019-11-04	1610612755	L	109	PHI @ PHX	1610612756	W	114	1587.0	1416.0
21900096	2019-11-04	1610612744	W	127	GSW vs. POR	1610612757	L	118	1503.0	1606.0
21900097	2019-11-05	1610612754	L	120	IND @ CHA	1610612766	W	122	1513.0	1476.0
21900098	2019-11-05	1610612738	W	119	BOS @ CLE	1610612739	L	113	1577.0	1340.0
21900099	2019-11-05	1610612737	W	108	ATL vs. SAS	1610612759	L	100	1437.0	1563.0
21900100	2019-11-05	1610612741	L	112	CHI vs. LAL	1610612747	W	118	1353.0	1523.0
21900101	2019-11-05	1610612753	L	94	ORL @ OKC	1610612760	W	102	1528.0	1538.0
21900102	2019-11-05	1610612743	W	109	DEN vs. MIA	1610612748	L	89	1565.0	1553.0
21900103	2019-11-06	1610612752	L	102	NYK @ DET	1610612765	W	122	1297.0	1461.0
21900104	2019-11-06	1610612754	W	121	IND vs. WAS	1610612764	L	106	1509.0	1433.0
21900105	2019-11-06	1610612737	L	93	ATL vs. CHI	1610612741	W	113	1447.0	1347.0
21900106	2019-11-06	1610612758	L	120	SAC @ TOR	1610612761	W	124	1435.0	1611.0
21900107	2019-11-06	1610612744	L	112	GSW @ HOU	1610612745	W	129	1513.0	1618.0
21900108	2019-11-06	1610612750	L	121	MIN @ MEM	1610612763	W	137	1493.0	1406.0
21900109	2019-11-06	1610612742	W	107	DAL vs. ORL	1610612753	L	106	1486.0	1522.0
21900110	2019-11-06	1610612755	L	104	PHI @ UTA	1610612762	W	106	1578.0	1591.0
21900111	2019-11-06	1610612746	L	124	LAC vs. MIL	1610612749	W	129	1560.0	1663.0
21900112	2019-11-07	1610612738	W	108	BOS @ CHA	1610612766	L	87	1581.0	1480.0
21900113	2019-11-07	1610612759	W	121	SAS vs. OKC	1610612760	L	112	1553.0	1544.0
21900114	2019-11-07	1610612748	W	124	MIA @ PHX	1610612756	L	108	1543.0	1425.0
21900115	2019-11-07	1610612746	W	107	LAC vs. POR	1610612757	L	101	1553.0	1596.0
21900116	2019-11-08	1610612754	W	112	IND vs. DET	1610612765	L	106	1515.0	1466.0
21900117	2019-11-08	1610612753	W	118	ORL vs. MEM	1610612763	L	86	1519.0	1419.0
21900118	2019-11-08	1610612739	W	113	CLE @ WAS	1610612764	L	100	1336.0	1427.0
21900119	2019-11-08	1610612737	L	109	ATL vs. SAC	1610612758	W	121	1417.0	1433.0
21900120	2019-11-08	1610612744	L	119	GSW @ MIN	1610612750	W	125	1507.0	1480.0
21900121	2019-11-08	1610612740	L	104	NOP vs. TOR	1610612761	W	122	1396.0	1613.0
21900122	2019-11-08	1610612742	L	102	DAL vs. NYK	1610612752	W	106	1489.0	1292.0
21900123	2019-11-08	1610612743	W	100	DEN vs. PHI	1610612755	L	97	1575.0	1575.0
21900124	2019-11-08	1610612749	L	100	MIL @ UTA	1610612762	W	103	1670.0	1594.0
21900125	2019-11-08	1610612751	W	119	BKN @ POR	1610612757	L	115	1499.0	1590.0
21900126	2019-11-08	1610612747	W	95	LAL vs. MIA	1610612748	L	80	1529.0	1556.0
21900127	2019-11-09	1610612738	W	135	BOS @ SAS	1610612759	L	115	1598.0	1559.0
21900128	2019-11-09	1610612740	W	115	NOP @ CHA	1610612766	L	110	1387.0	1463.0
