GAME_ID	TEAM_ID	NEXT_GAME_ID	SENTIMENT
22301178	1610612737	22301188	0.408076231092157
22301159	1610612737	22301178	0.408076231092157
22301147	1610612737	22301159	0.2895315519424269
22301130	1610612737	22301147	0.4595188911841141
22301124	1610612737	22301130	0.408076231092157
22301104	1610612737	22301124	0.5538615312854002
22301091	1610612737	22301104	0.5396548277470514
22301076	1610612737	22301091	0.4991004198040914
-1	1610612737	22301076	0.0
22301051	1610612737	22301060	0.4202610210473207
22301034	1610612737	22301051	0.5508611132986425
22301021	1610612737	22301034	0.486922769374292
22301010	1610612737	22301021	0.408076231092157
22300990	1610612737	22301010	0.2077474956131583
22300982	1610612737	22300990	0.5779605880891947
22300966	1610612737	22300982	0.5746651562604118
22300953	1610612737	22300966	0.3227827014060105
22300925	1610612737	22300953	0.6360031985073633
22300913	1610612737	22300925	0.4580232928337147
22300895	1610612737	22300913	0.5738450261672758
22300889	1610612737	22300895	0.5070855822838232
22300866	1610612737	22300889	0.408076231092157
22300851	1610612737	22300866	0.408076231092157
22300835	1610612737	22300851	0.408076231092157
22300821	1610612737	22300835	0.5918904511228094
22300804	1610612737	22300821	0.408076231092157
22300777	1610612737	22300804	0.2674085426800826
22300763	1610612737	22300777	0.408076231092157
22300754	1610612737	22300763	0.5212012172097465
22300742	1610612737	22300754	0.4738899624619622
22300729	1610612737	22300742	0.408076231092157
-1	1610612737	22300729	0.0
22300690	1610612737	22300699	0.5599683110844569
-1	1610612737	22300690	0.0
22301173	1610612738	22301186	0.5269318762355346
22301167	1610612738	22301173	0.4771260591211281
22301148	1610612738	22301167	0.4545290629078979
22301134	1610612738	22301148	0.501383969532167
22301118	1610612738	22301134	0.6789150570313565
-1	1610612738	22301118	0.0
22301087	1610612738	22301105	0.5740937916915368
22301074	1610612738	22301087	0.508756044564824
-1	1610612738	22301074	0.0
22301034	1610612738	22301060	0.4497877181124999
22301023	1610612738	22301034	0.5742369247292439
22301011	1610612738	22301023	0.5587044886299437
-1	1610612738	22301011	0.0
22300984	1610612738	22300998	0.5505030985540081
22300980	1610612738	22300984	0.6093607929202931
-1	1610612738	22300980	0.0
-1	1610612738	22300955	0.0
22300938	1610612738	22300943	0.5451910320638247
22300920	1610612738	22300938	0.4626433590250476
-1	1610612738	22300920	0.0
-1	1610612738	22300886	0.0
-1	1610612738	22300872	0.0
22300836	1610612738	22300859	0.4507306846548534
22300816	1610612738	22300836	0.6308500477554919
22300797	1610612738	22300816	0.5503987028275694
22300780	1610612738	22300797	0.5236156460318518
22300771	1610612738	22300780	0.5332127058654679
-1	1610612738	22300771	0.0
-1	1610612738	22300759	0.0
22300729	1610612738	22300743	0.5572914458101371
22300706	1610612738	22300729	0.6929521778725484
22300659	1610612738	22300670	0.5536349703471714
22301174	1610612739	22301187	0.5451122809355634
22301158	1610612739	22301174	0.5661024855067636
22301132	1610612739	22301158	0.3999866728859865
-1	1610612739	22301132	0.0
22301110	1610612739	22301127	0.408076231092157
22301100	1610612739	22301110	0.5451900224339753
22301077	1610612739	22301100	0.408076231092157
22301067	1610612739	22301077	0.4875857932964617
22301048	1610612739	22301067	0.408076231092157
22301033	1610612739	22301048	0.4249950023322449
22301029	1610612739	22301033	0.0293196508296129
22301014	1610612739	22301029	0.5656360365162925
22300996	1610612739	22301014	0.3199040447791031
22300983	1610612739	22300996	0.5675684680482441
22300967	1610612739	22300983	0.1146131805157593
22300951	1610612739	22300967	0.5262059523737408
22300934	1610612739	22300951	0.5363996801492636
22300930	1610612739	22300934	0.408076231092157
22300911	1610612739	22300930	0.5872859332311589
22300895	1610612739	22300911	0.8402745385486772
-1	1610612739	22300895	0.0
22300876	1610612739	22300886	0.8979143066568934
22300857	1610612739	22300876	0.4612114346638236
22300846	1610612739	22300857	0.295235556740188
22300832	1610612739	22300846	0.5568969774889365
22300820	1610612739	22300832	0.6049576864130073
22300805	1610612739	22300820	0.408076231092157
22300792	1610612739	22300805	0.408076231092157
22300781	1610612739	22300792	0.5446495339212072
22300762	1610612739	22300781	0.408076231092157
22300756	1610612739	22300762	0.5811327262963559
22300735	1610612739	22300756	0.54976566491193
22300728	1610612739	22300735	0.4877723728926501
22300714	1610612739	22300728	0.5834610515092957
22300703	1610612739	22300714	0.4308989138402079
22300687	1610612739	22300703	0.5918571333377758
22300658	1610612739	22300675	0.626676781604482
22301182	1610612740	22301195	0.6245849975893604
22301170	1610612740	22301182	0.5628939828080229
22301157	1610612740	22301170	0.6736411896670442
22301138	1610612740	22301157	0.474546544945692
22301123	1610612740	22301138	0.2766442326914107
22301109	1610612740	22301123	0.3305040980875591
-1	1610612740	22301109	0.0
22301074	1610612740	22301092	0.408076231092157
22301061	1610612740	22301074	0.5330285866595589
22301046	1610612740	22301061	0.2741720530419138
22301027	1610612740	22301046	0.6498611758956931
22301013	1610612740	22301027	0.6000324848404078
22301004	1610612740	22301013	0.6278736589591524
22300993	1610612740	22301004	0.6083161191443993
22300970	1610612740	22300993	0.5409549617585867
-1	1610612740	22300970	0.0
22300951	1610612740	22300964	0.6282401545945225
22300925	1610612740	22300951	0.4847788980527036
22300909	1610612740	22300925	0.4440118420927377
22300890	1610612740	22300909	0.5634333607279566
22300863	1610612740	22300890	0.5951056173785567
22300843	1610612740	22300863	0.408076231092157
22300837	1610612740	22300843	0.4878923169187712
22300823	1610612740	22300837	0.408076231092157
22300810	1610612740	22300823	0.2360231891783834
22300798	1610612740	22300810	0.5265054085871038
22300784	1610612740	22300798	0.5536628361310176
22300766	1610612740	22300784	0.4888052242286932
22300758	1610612740	22300766	0.507929632838009
22300731	1610612740	22300747	0.6621322747797059
22300718	1610612740	22300731	0.4935696674885054
22300696	1610612740	22300718	0.573760816380927
-1	1610612740	22300696	0.0
22300659	1610612740	22300679	0.5548077563803558
-1	1610612740	22300588	0.0
22301172	1610612741	22301190	0.6202350014437708
22301166	1610612741	22301172	0.4435687588216408
22301149	1610612741	22301166	0.408076231092157
22301136	1610612741	22301149	0.0937562470846938
22301119	1610612741	22301136	0.5582257691508669
22301091	1610612741	22301119	0.3414823082561471
22301084	1610612741	22301091	0.6355938657198069
22301066	1610612741	22301084	0.3700606383687613
22301054	1610612741	22301066	0.590959513011575
22301037	1610612741	22301054	0.6475644699140402
22301023	1610612741	22301037	0.408076231092157
22301006	1610612741	22301023	0.4929566202438862
