Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21800001	2018-10-16	1610612738	W	105	BOS vs. PHI	1610612755	L	87	1500.0	1500.0
21800002	2018-10-16	1610612744	W	108	GSW vs. OKC	1610612760	L	100	1500.0	1500.0
21800003	2018-10-17	1610612749	W	113	MIL @ CHA	1610612766	L	112	1500.0	1500.0
21800004	2018-10-17	1610612751	L	100	BKN @ DET	1610612765	W	103	1500.0	1500.0
21800005	2018-10-17	1610612754	W	111	IND vs. MEM	1610612763	L	83	1500.0	1500.0
21800006	2018-10-17	1610612748	L	101	MIA @ ORL	1610612753	W	104	1500.0	1500.0
21800007	2018-10-17	1610612737	L	107	ATL @ NYK	1610612752	W	126	1500.0	1500.0
21800008	2018-10-17	1610612739	L	104	CLE @ TOR	1610612761	W	116	1500.0	1500.0
21800009	2018-10-17	1610612740	W	131	NOP @ HOU	1610612745	L	112	1500.0	1500.0
21800010	2018-10-17	1610612750	L	108	MIN @ SAS	1610612759	W	112	1500.0	1500.0
21800011	2018-10-17	1610612758	L	117	SAC vs. UTA	1610612762	W	123	1500.0	1500.0
21800012	2018-10-17	1610612743	W	107	DEN @ LAC	1610612746	L	98	1500.0	1500.0
21800013	2018-10-17	1610612742	L	100	DAL @ PHX	1610612756	W	121	1500.0	1500.0
21800014	2018-10-18	1610612741	L	108	CHI @ PHI	1610612755	W	127	1500.0	1490.0
21800015	2018-10-18	1610612748	W	113	MIA @ WAS	1610612764	L	112	1496.0	1500.0
21800016	2018-10-18	1610612747	L	119	LAL @ POR	1610612757	W	128	1500.0	1500.0
21800017	2018-10-19	1610612753	L	88	ORL vs. CHA	1610612766	W	120	1504.0	1494.0
21800018	2018-10-19	1610612751	W	107	BKN vs. NYK	1610612752	L	105	1496.0	1511.0
21800019	2018-10-19	1610612738	L	101	BOS @ TOR	1610612761	W	113	1510.0	1508.0
21800020	2018-10-19	1610612737	L	117	ATL @ MEM	1610612763	W	131	1489.0	1486.0
21800021	2018-10-19	1610612739	L	123	CLE @ MIN	1610612750	W	131	1492.0	1496.0
21800022	2018-10-19	1610612740	W	149	NOP vs. SAC	1610612758	L	129	1522.0	1489.0
21800023	2018-10-19	1610612749	W	118	MIL vs. IND	1610612754	L	101	1506.0	1514.0
21800024	2018-10-19	1610612744	W	124	GSW @ UTA	1610612762	L	123	1506.0	1511.0
21800025	2018-10-19	1610612746	W	108	LAC vs. OKC	1610612760	L	92	1486.0	1494.0
21800026	2018-10-20	1610612751	L	112	BKN @ IND	1610612754	W	132	1499.0	1504.0
21800027	2018-10-20	1610612761	W	117	TOR @ WAS	1610612764	L	113	1516.0	1494.0
21800028	2018-10-20	1610612738	W	103	BOS @ NYK	1610612752	L	101	1502.0	1508.0
